image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,13.419835716020316,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,STL10,1
1,13.448021061951295,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,STL10,1
2,13.382275283103809,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,STL10,1
3,13.409499277826399,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,STL10,1
4,13.425976707134396,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,STL10,1
5,13.473419768037274,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,STL10,1
6,13.403330859029666,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,STL10,1
7,13.385253563988954,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,STL10,1
8,13.417629356030375,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,STL10,1
9,13.432187203783542,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,STL10,1
10,13.443116154056042,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,STL10,1
11,13.360200420953333,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,STL10,1
12,13.411253196187317,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,STL10,1
13,13.426468768855557,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,STL10,1
14,13.446612457046285,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,STL10,1
15,13.408704999834299,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,STL10,1
16,13.376000430900604,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,STL10,1
17,13.384762926958501,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,STL10,1
18,13.409488121978939,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,STL10,1
19,13.427292515989393,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,STL10,1
20,13.38610866991803,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,STL10,1
21,13.401060159085318,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,STL10,1
22,13.427080414025113,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,STL10,1
23,13.434787400998175,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,STL10,1
24,13.39878571080044,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,STL10,1
25,13.370980547973886,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,STL10,1
26,13.396829342003912,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,STL10,1
27,13.389701158041134,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,STL10,1
28,13.442771127913147,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,STL10,1
29,13.379361530998722,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,STL10,1
30,13.376216059084982,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,STL10,1
31,13.426024549175054,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,STL10,1
32,13.458925025071949,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,STL10,1
33,13.360668847104535,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,STL10,1
34,13.403453279985115,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,STL10,1
35,13.402909065131098,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,STL10,1
36,13.386026469990611,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,STL10,1
37,13.42690937104635,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,STL10,1
38,13.392393507994711,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,STL10,1
39,13.42731128889136,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,STL10,1
40,13.473700882168487,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,STL10,1
41,13.470329234143719,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,STL10,1
42,13.368386660004035,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,STL10,1
43,13.39207221311517,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,STL10,1
44,13.400197204900905,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,STL10,1
45,13.396323225926608,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,STL10,1
