image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,33.640650790184736,10.54443359375,0.19140625,Morris_Sensitivity_Analysis,resnet50,CIFAR10,1
1,33.924000795930624,10.54443359375,0.19140625,Morris_Sensitivity_Analysis,resnet50,CIFAR10,1
2,33.99949574097991,10.54443359375,0.19140625,Morris_Sensitivity_Analysis,resnet50,CIFAR10,1
3,34.00475386157632,10.54443359375,0.19140625,Morris_Sensitivity_Analysis,resnet50,CIFAR10,1
4,34.34757141396403,10.54443359375,0.19140625,Morris_Sensitivity_Analysis,resnet50,CIFAR10,1
5,34.61830271035433,10.54443359375,0.19140625,Morris_Sensitivity_Analysis,resnet50,CIFAR10,1
6,34.316809579730034,10.54443359375,0.19140625,Morris_Sensitivity_Analysis,resnet50,CIFAR10,1
7,34.452014826238155,10.54443359375,0.19140625,Morris_Sensitivity_Analysis,resnet50,CIFAR10,1
8,34.56849803775549,10.54443359375,0.19140625,Morris_Sensitivity_Analysis,resnet50,CIFAR10,1
9,34.668385557830334,10.54443359375,0.19140625,Morris_Sensitivity_Analysis,resnet50,CIFAR10,1
