image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,29.024532917886972,27.93115234375,0.19140625,Morris_Sensitivity_Analysis,resnet50,CIFAR10,1
1,30.671446569263935,27.93115234375,0.19140625,Morris_Sensitivity_Analysis,resnet50,CIFAR10,1
2,23.54543736949563,27.93115234375,0.19140625,Morris_Sensitivity_Analysis,resnet50,CIFAR10,1
3,32.51731088012457,27.93115234375,0.19140625,Morris_Sensitivity_Analysis,resnet50,CIFAR10,1
4,23.935564640909433,27.93115234375,0.19140625,Morris_Sensitivity_Analysis,resnet50,CIFAR10,1
5,28.679540816694498,27.93115234375,0.19140625,Morris_Sensitivity_Analysis,resnet50,CIFAR10,1
6,24.35473447293043,27.93115234375,0.19140625,Morris_Sensitivity_Analysis,resnet50,CIFAR10,1
7,30.5689312890172,27.93115234375,0.19140625,Morris_Sensitivity_Analysis,resnet50,CIFAR10,1
8,25.017068594694138,27.93115234375,0.19140625,Morris_Sensitivity_Analysis,resnet50,CIFAR10,1
9,26.945535972714424,27.93115234375,0.19140625,Morris_Sensitivity_Analysis,resnet50,CIFAR10,1
