image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,8.8513335629832,136.93505859375,0.19140625,Morris_Sensitivity_Analysis,resnet50,ImageNet,1
1,8.895966407144442,136.93505859375,0.19140625,Morris_Sensitivity_Analysis,resnet50,ImageNet,1
2,8.848055263981223,136.93505859375,0.19140625,Morris_Sensitivity_Analysis,resnet50,ImageNet,1
3,8.87706098309718,136.93505859375,0.19140625,Morris_Sensitivity_Analysis,resnet50,ImageNet,1
4,8.870169091969728,136.93505859375,0.19140625,Morris_Sensitivity_Analysis,resnet50,ImageNet,1
5,8.860841647954658,136.93505859375,0.19140625,Morris_Sensitivity_Analysis,resnet50,ImageNet,1
6,8.87351250089705,136.93505859375,0.19140625,Morris_Sensitivity_Analysis,resnet50,ImageNet,1
7,8.880540860118344,136.93505859375,0.19140625,Morris_Sensitivity_Analysis,resnet50,ImageNet,1
8,8.903968008933589,136.93505859375,0.19140625,Morris_Sensitivity_Analysis,resnet50,ImageNet,1
9,8.866652984172106,136.93505859375,0.19140625,Morris_Sensitivity_Analysis,resnet50,ImageNet,1
10,8.866973794996738,136.93505859375,0.19140625,Morris_Sensitivity_Analysis,resnet50,ImageNet,1
11,8.854430200066417,136.93505859375,0.19140625,Morris_Sensitivity_Analysis,resnet50,ImageNet,1
12,8.84701657295227,136.93505859375,0.19140625,Morris_Sensitivity_Analysis,resnet50,ImageNet,1
13,8.854939387878403,136.93505859375,0.19140625,Morris_Sensitivity_Analysis,resnet50,ImageNet,1
14,8.902723707957193,136.93505859375,0.19140625,Morris_Sensitivity_Analysis,resnet50,ImageNet,1
15,8.862166076898575,136.93505859375,0.19140625,Morris_Sensitivity_Analysis,resnet50,ImageNet,1
16,8.855869203805923,136.93505859375,0.19140625,Morris_Sensitivity_Analysis,resnet50,ImageNet,1
17,8.899498387007043,136.93505859375,0.19140625,Morris_Sensitivity_Analysis,resnet50,ImageNet,1
18,8.842271021101624,136.93505859375,0.19140625,Morris_Sensitivity_Analysis,resnet50,ImageNet,1
19,8.85760318604298,136.93505859375,0.19140625,Morris_Sensitivity_Analysis,resnet50,ImageNet,1
20,8.843396544922143,136.93505859375,0.19140625,Morris_Sensitivity_Analysis,resnet50,ImageNet,1
21,8.918479393003508,136.93505859375,0.19140625,Morris_Sensitivity_Analysis,resnet50,ImageNet,1
22,8.85362866986543,136.93505859375,0.19140625,Morris_Sensitivity_Analysis,resnet50,ImageNet,1
23,8.855842661112547,136.93505859375,0.19140625,Morris_Sensitivity_Analysis,resnet50,ImageNet,1
24,8.856820803135633,136.93505859375,0.19140625,Morris_Sensitivity_Analysis,resnet50,ImageNet,1
25,8.860868318937719,136.93505859375,0.19140625,Morris_Sensitivity_Analysis,resnet50,ImageNet,1
26,8.855388874886557,136.93505859375,0.19140625,Morris_Sensitivity_Analysis,resnet50,ImageNet,1
27,8.876545652048662,136.93505859375,0.19140625,Morris_Sensitivity_Analysis,resnet50,ImageNet,1
28,8.90847073099576,136.93505859375,0.19140625,Morris_Sensitivity_Analysis,resnet50,ImageNet,1
