image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,23.52909606322646,27.93115234375,0.19140625,Morris_Sensitivity_Analysis,resnet50,STL10,1
1,27.19911089912057,27.93115234375,0.19140625,Morris_Sensitivity_Analysis,resnet50,STL10,1
2,25.99692926183343,27.93115234375,0.19140625,Morris_Sensitivity_Analysis,resnet50,STL10,1
3,27.01396783068776,27.93115234375,0.19140625,Morris_Sensitivity_Analysis,resnet50,STL10,1
4,27.713112734258175,27.93115234375,0.19140625,Morris_Sensitivity_Analysis,resnet50,STL10,1
5,26.6126223616302,27.93115234375,0.19140625,Morris_Sensitivity_Analysis,resnet50,STL10,1
6,27.814007382839918,27.93115234375,0.19140625,Morris_Sensitivity_Analysis,resnet50,STL10,1
7,21.218142721801996,27.93115234375,0.19140625,Morris_Sensitivity_Analysis,resnet50,STL10,1
8,29.01968439295888,27.93115234375,0.19140625,Morris_Sensitivity_Analysis,resnet50,STL10,1
9,27.588246300816536,27.93115234375,0.19140625,Morris_Sensitivity_Analysis,resnet50,STL10,1
