image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,82.5790033787489,8.35986328125,0.19140625,Morris_Sensitivity_Analysis,vit-b-16,CIFAR10,1
1,82.64096860960126,8.35986328125,0.19140625,Morris_Sensitivity_Analysis,vit-b-16,CIFAR10,1
2,82.53788616135716,8.35986328125,0.19140625,Morris_Sensitivity_Analysis,vit-b-16,CIFAR10,1
3,82.57455371320248,8.35986328125,0.19140625,Morris_Sensitivity_Analysis,vit-b-16,CIFAR10,1
4,82.70003513246775,8.35986328125,0.19140625,Morris_Sensitivity_Analysis,vit-b-16,CIFAR10,1
5,82.61601739749312,8.35986328125,0.19140625,Morris_Sensitivity_Analysis,vit-b-16,CIFAR10,1
6,82.59524485468864,8.35986328125,0.19140625,Morris_Sensitivity_Analysis,vit-b-16,CIFAR10,1
7,82.5828816704452,8.35986328125,0.19140625,Morris_Sensitivity_Analysis,vit-b-16,CIFAR10,1
8,82.63842860236764,8.35986328125,0.19140625,Morris_Sensitivity_Analysis,vit-b-16,CIFAR10,1
9,82.58640414848924,8.35986328125,0.19140625,Morris_Sensitivity_Analysis,vit-b-16,CIFAR10,1
