image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,95.29230611398816,8.09423828125,0.19140625,Morris_Sensitivity_Analysis,vit-b-16,CIFAR10,1
1,95.27490568161011,8.09423828125,0.19140625,Morris_Sensitivity_Analysis,vit-b-16,CIFAR10,1
2,95.21660967543721,8.09423828125,0.19140625,Morris_Sensitivity_Analysis,vit-b-16,CIFAR10,1
3,95.24554796144366,8.09423828125,0.19140625,Morris_Sensitivity_Analysis,vit-b-16,CIFAR10,1
4,98.14431801438332,8.09423828125,0.19140625,Morris_Sensitivity_Analysis,vit-b-16,CIFAR10,1
5,100.20881789550185,8.09423828125,0.19140625,Morris_Sensitivity_Analysis,vit-b-16,CIFAR10,1
6,100.08794695138931,8.09423828125,0.19140625,Morris_Sensitivity_Analysis,vit-b-16,CIFAR10,1
7,101.77567607909441,8.09423828125,0.19140625,Morris_Sensitivity_Analysis,vit-b-16,CIFAR10,1
8,99.56562113389373,8.09423828125,0.19140625,Morris_Sensitivity_Analysis,vit-b-16,CIFAR10,1
9,102.25937886163592,8.09423828125,0.19140625,Morris_Sensitivity_Analysis,vit-b-16,CIFAR10,1
