image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,12.850115946959704,8.09423828125,0.19140625,Morris_Sensitivity_Analysis,vit-b-16,STL10,1
1,12.848413924919441,8.09423828125,0.19140625,Morris_Sensitivity_Analysis,vit-b-16,STL10,1
2,12.863966293865815,8.09423828125,0.19140625,Morris_Sensitivity_Analysis,vit-b-16,STL10,1
3,12.856544282985851,8.09423828125,0.19140625,Morris_Sensitivity_Analysis,vit-b-16,STL10,1
4,12.890682128956541,8.09423828125,0.19140625,Morris_Sensitivity_Analysis,vit-b-16,STL10,1
5,12.883746019098908,8.09423828125,0.19140625,Morris_Sensitivity_Analysis,vit-b-16,STL10,1
6,12.872430596034974,8.09423828125,0.19140625,Morris_Sensitivity_Analysis,vit-b-16,STL10,1
7,12.864543427014723,8.09423828125,0.19140625,Morris_Sensitivity_Analysis,vit-b-16,STL10,1
8,12.883674181997776,8.09423828125,0.19140625,Morris_Sensitivity_Analysis,vit-b-16,STL10,1
9,12.879428865155205,8.09423828125,0.19140625,Morris_Sensitivity_Analysis,vit-b-16,STL10,1
10,12.884777107974514,8.09423828125,0.19140625,Morris_Sensitivity_Analysis,vit-b-16,STL10,1
11,12.880051359999925,8.09423828125,0.19140625,Morris_Sensitivity_Analysis,vit-b-16,STL10,1
12,12.88394291093573,8.09423828125,0.19140625,Morris_Sensitivity_Analysis,vit-b-16,STL10,1
13,12.895996931008995,8.09423828125,0.19140625,Morris_Sensitivity_Analysis,vit-b-16,STL10,1
14,12.89809646899812,8.09423828125,0.19140625,Morris_Sensitivity_Analysis,vit-b-16,STL10,1
15,12.885036058025435,8.09423828125,0.19140625,Morris_Sensitivity_Analysis,vit-b-16,STL10,1
16,12.879711081041023,8.09423828125,0.19140625,Morris_Sensitivity_Analysis,vit-b-16,STL10,1
17,12.872723646927625,8.09423828125,0.19140625,Morris_Sensitivity_Analysis,vit-b-16,STL10,1
18,12.882259622914717,8.09423828125,0.19140625,Morris_Sensitivity_Analysis,vit-b-16,STL10,1
19,12.888277918100357,8.09423828125,0.19140625,Morris_Sensitivity_Analysis,vit-b-16,STL10,1
20,12.882082638097927,8.09423828125,0.19140625,Morris_Sensitivity_Analysis,vit-b-16,STL10,1
21,12.874047212069854,8.09423828125,0.19140625,Morris_Sensitivity_Analysis,vit-b-16,STL10,1
22,12.88708709506318,8.09423828125,0.19140625,Morris_Sensitivity_Analysis,vit-b-16,STL10,1
23,12.899598935851827,8.09423828125,0.19140625,Morris_Sensitivity_Analysis,vit-b-16,STL10,1
24,12.882779196137562,8.09423828125,0.19140625,Morris_Sensitivity_Analysis,vit-b-16,STL10,1
25,12.879332129843533,8.09423828125,0.19140625,Morris_Sensitivity_Analysis,vit-b-16,STL10,1
26,12.882819241844118,8.09423828125,0.19140625,Morris_Sensitivity_Analysis,vit-b-16,STL10,1
27,12.878515950869769,8.09423828125,0.19140625,Morris_Sensitivity_Analysis,vit-b-16,STL10,1
28,12.892290147952735,8.09423828125,0.19140625,Morris_Sensitivity_Analysis,vit-b-16,STL10,1
29,12.882820238126442,8.09423828125,0.19140625,Morris_Sensitivity_Analysis,vit-b-16,STL10,1
30,12.886198855005205,8.09423828125,0.19140625,Morris_Sensitivity_Analysis,vit-b-16,STL10,1
31,12.880447829840705,8.09423828125,0.19140625,Morris_Sensitivity_Analysis,vit-b-16,STL10,1
32,12.908047434175387,8.09423828125,0.19140625,Morris_Sensitivity_Analysis,vit-b-16,STL10,1
33,12.885870847851038,8.09423828125,0.19140625,Morris_Sensitivity_Analysis,vit-b-16,STL10,1
34,12.874948125099763,8.09423828125,0.19140625,Morris_Sensitivity_Analysis,vit-b-16,STL10,1
35,12.876931325998157,8.09423828125,0.19140625,Morris_Sensitivity_Analysis,vit-b-16,STL10,1
36,12.89058387791738,8.09423828125,0.19140625,Morris_Sensitivity_Analysis,vit-b-16,STL10,1
37,12.885487589985132,8.09423828125,0.19140625,Morris_Sensitivity_Analysis,vit-b-16,STL10,1
