image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,4.301614075899124,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
1,4.296454314142466,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
2,4.297879684716463,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
3,4.31672702729702,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
4,4.313952881842852,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
5,4.2963109239935875,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
6,4.307062521576881,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
7,4.308244600892067,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
8,4.311122622340918,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
9,4.317623559385538,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
10,4.316457167267799,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
11,4.329698111861944,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
12,4.315767679363489,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
13,4.321412529796362,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
14,4.3171235881745815,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
15,4.325782936066389,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
16,4.328954808413982,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
17,4.338430255651474,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
18,4.314940541982651,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
19,4.32328949123621,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
20,4.320403546094894,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
21,4.3238937966525555,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
22,4.322989799082279,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
23,4.322673860937357,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
24,4.343721300363541,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
25,4.3377629071474075,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
26,4.320186145603657,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
27,4.338129010051489,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
28,4.347524426877499,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
29,4.336696282029152,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
30,4.330108068883419,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
31,4.348899394273758,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
32,4.360545098781586,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
33,4.332499958574772,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
34,4.324407938867807,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
35,4.3388027511537075,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
36,4.3302777744829655,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
37,4.3363212160766125,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
38,4.3319364078342915,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
39,4.342457544058561,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
40,4.332496125251055,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
41,4.336606174707413,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
42,4.35210070759058,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
43,4.336646590381861,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
44,4.322904672473669,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
45,4.330110792070627,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
46,4.329732533544302,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
47,4.3352746069431305,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
48,4.331109203398228,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
49,4.333384983241558,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
50,4.346707798540592,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
51,4.332455072551966,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
52,4.32358792796731,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
53,4.340206068009138,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
54,4.334941111505032,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
55,4.341302562505007,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
56,4.321973700076342,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
57,4.350091867148876,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
58,4.331348475068808,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
59,4.328196596354246,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
60,4.337134677916765,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
61,4.344895828515291,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
62,4.345418851822615,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
63,4.321915335953236,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
64,4.341980222612619,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
65,4.3300163410604,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
66,4.329942226409912,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
67,4.343579329550266,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
68,4.343956213444471,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
69,4.330755218863487,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
70,4.317156810313463,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
71,4.323309853672981,14.4072265625,0.19140625,PermutationImportance,convnext-t,ImageNet,1
