image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,4.243018817156553,14.3486328125,0.19140625,PermutationImportance,convnext-t,ImageNet,1
1,4.241692196577787,14.3486328125,0.19140625,PermutationImportance,convnext-t,ImageNet,1
2,4.237856350839138,14.3486328125,0.19140625,PermutationImportance,convnext-t,ImageNet,1
3,4.2382795959711075,14.3486328125,0.19140625,PermutationImportance,convnext-t,ImageNet,1
4,4.243025742471218,14.3486328125,0.19140625,PermutationImportance,convnext-t,ImageNet,1
5,4.240069001913071,14.3486328125,0.19140625,PermutationImportance,convnext-t,ImageNet,1
6,4.237085912376642,14.3486328125,0.19140625,PermutationImportance,convnext-t,ImageNet,1
7,4.2426463291049,14.3486328125,0.19140625,PermutationImportance,convnext-t,ImageNet,1
8,4.23699926584959,14.3486328125,0.19140625,PermutationImportance,convnext-t,ImageNet,1
9,4.240248620510101,14.3486328125,0.19140625,PermutationImportance,convnext-t,ImageNet,1
10,4.238829579204321,14.3486328125,0.19140625,PermutationImportance,convnext-t,ImageNet,1
11,4.236901190131903,14.3486328125,0.19140625,PermutationImportance,convnext-t,ImageNet,1
12,4.236807428300381,14.3486328125,0.19140625,PermutationImportance,convnext-t,ImageNet,1
13,4.239267665892839,14.3486328125,0.19140625,PermutationImportance,convnext-t,ImageNet,1
14,4.239439703524113,14.3486328125,0.19140625,PermutationImportance,convnext-t,ImageNet,1
15,4.23891369625926,14.3486328125,0.19140625,PermutationImportance,convnext-t,ImageNet,1
16,4.237710673362017,14.3486328125,0.19140625,PermutationImportance,convnext-t,ImageNet,1
17,4.2377194836735725,14.3486328125,0.19140625,PermutationImportance,convnext-t,ImageNet,1
18,4.240034282207489,14.3486328125,0.19140625,PermutationImportance,convnext-t,ImageNet,1
19,4.235524151474237,14.3486328125,0.19140625,PermutationImportance,convnext-t,ImageNet,1
20,4.237462017685175,14.3486328125,0.19140625,PermutationImportance,convnext-t,ImageNet,1
