image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.8662415698636323,14.3486328125,0.19140625,PermutationImportance,convnext-t,ImageNet,1
1,0.8681021749507636,14.3486328125,0.19140625,PermutationImportance,convnext-t,ImageNet,1
2,0.872410801006481,14.3486328125,0.19140625,PermutationImportance,convnext-t,ImageNet,1
3,0.8645760440267622,14.3486328125,0.19140625,PermutationImportance,convnext-t,ImageNet,1
4,0.8697419599629939,14.3486328125,0.19140625,PermutationImportance,convnext-t,ImageNet,1
5,0.8783306339755654,14.3486328125,0.19140625,PermutationImportance,convnext-t,ImageNet,1
6,0.8725033870432526,14.3486328125,0.19140625,PermutationImportance,convnext-t,ImageNet,1
7,0.8749354938045144,14.3486328125,0.19140625,PermutationImportance,convnext-t,ImageNet,1
8,0.8741822589654475,14.3486328125,0.19140625,PermutationImportance,convnext-t,ImageNet,1
9,0.8661982871126384,14.3486328125,0.19140625,PermutationImportance,convnext-t,ImageNet,1
10,0.8652230829466134,14.3486328125,0.19140625,PermutationImportance,convnext-t,ImageNet,1
11,0.8680553808808327,14.3486328125,0.19140625,PermutationImportance,convnext-t,ImageNet,1
12,0.8644987079314888,14.3486328125,0.19140625,PermutationImportance,convnext-t,ImageNet,1
13,0.8670258768834174,14.3486328125,0.19140625,PermutationImportance,convnext-t,ImageNet,1
14,0.8672011599410325,14.3486328125,0.19140625,PermutationImportance,convnext-t,ImageNet,1
15,0.8672165658790618,14.3486328125,0.19140625,PermutationImportance,convnext-t,ImageNet,1
16,0.8684666019398719,14.3486328125,0.19140625,PermutationImportance,convnext-t,ImageNet,1
17,0.8694158650469035,14.3486328125,0.19140625,PermutationImportance,convnext-t,ImageNet,1
18,0.8654088978655636,14.3486328125,0.19140625,PermutationImportance,convnext-t,ImageNet,1
19,0.883864426985383,14.3486328125,0.19140625,PermutationImportance,convnext-t,ImageNet,1
20,0.8696722080931067,14.3486328125,0.19140625,PermutationImportance,convnext-t,ImageNet,1
21,0.8658033250831068,14.3486328125,0.19140625,PermutationImportance,convnext-t,ImageNet,1
22,0.8710920989979059,14.3486328125,0.19140625,PermutationImportance,convnext-t,ImageNet,1
23,0.8657732070423663,14.3486328125,0.19140625,PermutationImportance,convnext-t,ImageNet,1
24,0.8684056180063635,14.3486328125,0.19140625,PermutationImportance,convnext-t,ImageNet,1
25,0.8657345159444958,14.3486328125,0.19140625,PermutationImportance,convnext-t,ImageNet,1
26,0.8701238019857556,14.3486328125,0.19140625,PermutationImportance,convnext-t,ImageNet,1
27,0.8679410060867667,14.3486328125,0.19140625,PermutationImportance,convnext-t,ImageNet,1
28,0.8620958179235458,14.3486328125,0.19140625,PermutationImportance,convnext-t,ImageNet,1
29,0.8694016949739307,14.3486328125,0.19140625,PermutationImportance,convnext-t,ImageNet,1
30,0.8770024999976158,14.3486328125,0.19140625,PermutationImportance,convnext-t,ImageNet,1
31,0.8738451350945979,14.3486328125,0.19140625,PermutationImportance,convnext-t,ImageNet,1
32,0.8691499300766736,14.3486328125,0.19140625,PermutationImportance,convnext-t,ImageNet,1
