image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,4.233919780701399,14.3486328125,0.19140625,PermutationImportance,convnext-t,STL10,1
1,4.231215503066778,14.3486328125,0.19140625,PermutationImportance,convnext-t,STL10,1
2,4.2375630885362625,14.3486328125,0.19140625,PermutationImportance,convnext-t,STL10,1
3,4.232784628868103,14.3486328125,0.19140625,PermutationImportance,convnext-t,STL10,1
4,4.227801915258169,14.3486328125,0.19140625,PermutationImportance,convnext-t,STL10,1
5,4.234545040875673,14.3486328125,0.19140625,PermutationImportance,convnext-t,STL10,1
6,4.234310235828161,14.3486328125,0.19140625,PermutationImportance,convnext-t,STL10,1
7,4.229748085141182,14.3486328125,0.19140625,PermutationImportance,convnext-t,STL10,1
8,4.231585364788771,14.3486328125,0.19140625,PermutationImportance,convnext-t,STL10,1
9,4.235204391181469,14.3486328125,0.19140625,PermutationImportance,convnext-t,STL10,1
10,4.232392847537994,14.3486328125,0.19140625,PermutationImportance,convnext-t,STL10,1
11,4.23227509483695,14.3486328125,0.19140625,PermutationImportance,convnext-t,STL10,1
12,4.235097661614418,14.3486328125,0.19140625,PermutationImportance,convnext-t,STL10,1
13,4.231403227895498,14.3486328125,0.19140625,PermutationImportance,convnext-t,STL10,1
14,4.2338709235191345,14.3486328125,0.19140625,PermutationImportance,convnext-t,STL10,1
15,4.23134071752429,14.3486328125,0.19140625,PermutationImportance,convnext-t,STL10,1
16,4.2266183495521545,14.3486328125,0.19140625,PermutationImportance,convnext-t,STL10,1
17,4.234626904129982,14.3486328125,0.19140625,PermutationImportance,convnext-t,STL10,1
18,4.230534061789513,14.3486328125,0.19140625,PermutationImportance,convnext-t,STL10,1
19,4.236739628016949,14.3486328125,0.19140625,PermutationImportance,convnext-t,STL10,1
20,4.235934805124998,14.3486328125,0.19140625,PermutationImportance,convnext-t,STL10,1
21,4.243867825716734,14.3486328125,0.19140625,PermutationImportance,convnext-t,STL10,1
22,4.23899482190609,14.3486328125,0.19140625,PermutationImportance,convnext-t,STL10,1
23,4.241754479706287,14.3486328125,0.19140625,PermutationImportance,convnext-t,STL10,1
