image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,7.308177325874567,11.5400390625,0.19140625,PermutationImportance,densenet121,CIFAR10,1
1,6.48878064006567,11.5400390625,0.19140625,PermutationImportance,densenet121,CIFAR10,1
2,6.766271334141493,11.5400390625,0.19140625,PermutationImportance,densenet121,CIFAR10,1
3,6.267701044678688,11.5400390625,0.19140625,PermutationImportance,densenet121,CIFAR10,1
4,6.805120453238487,11.5400390625,0.19140625,PermutationImportance,densenet121,CIFAR10,1
5,7.072204556316137,11.5400390625,0.19140625,PermutationImportance,densenet121,CIFAR10,1
6,6.794812332838774,11.5400390625,0.19140625,PermutationImportance,densenet121,CIFAR10,1
7,6.416612025350332,11.5400390625,0.19140625,PermutationImportance,densenet121,CIFAR10,1
8,6.211207613348961,11.5400390625,0.19140625,PermutationImportance,densenet121,CIFAR10,1
9,7.299790732562542,11.5400390625,0.19140625,PermutationImportance,densenet121,CIFAR10,1
10,7.3987187668681145,11.5400390625,0.19140625,PermutationImportance,densenet121,CIFAR10,1
11,7.120052549988031,11.5400390625,0.19140625,PermutationImportance,densenet121,CIFAR10,1
12,6.363085523247719,11.5400390625,0.19140625,PermutationImportance,densenet121,CIFAR10,1
13,7.07494654878974,11.5400390625,0.19140625,PermutationImportance,densenet121,CIFAR10,1
14,7.003299579024315,11.5400390625,0.19140625,PermutationImportance,densenet121,CIFAR10,1
15,7.049324192106724,11.5400390625,0.19140625,PermutationImportance,densenet121,CIFAR10,1
16,6.567206218838692,11.5400390625,0.19140625,PermutationImportance,densenet121,CIFAR10,1
17,7.342233758419752,11.5400390625,0.19140625,PermutationImportance,densenet121,CIFAR10,1
18,7.188356012105942,11.5400390625,0.19140625,PermutationImportance,densenet121,CIFAR10,1
19,6.7927004881203175,11.5400390625,0.19140625,PermutationImportance,densenet121,CIFAR10,1
20,6.725864507257938,11.5400390625,0.19140625,PermutationImportance,densenet121,CIFAR10,1
21,6.592654086649418,11.5400390625,0.19140625,PermutationImportance,densenet121,CIFAR10,1
22,6.650671169161797,11.5400390625,0.19140625,PermutationImportance,densenet121,CIFAR10,1
23,6.401799261569977,11.5400390625,0.19140625,PermutationImportance,densenet121,CIFAR10,1
24,6.530887268483639,11.5400390625,0.19140625,PermutationImportance,densenet121,CIFAR10,1
25,7.697403822094202,11.5400390625,0.19140625,PermutationImportance,densenet121,CIFAR10,1
26,6.7387971095740795,11.5400390625,0.19140625,PermutationImportance,densenet121,CIFAR10,1
27,7.32447000592947,11.5400390625,0.19140625,PermutationImportance,densenet121,CIFAR10,1
28,7.272520840167999,11.5400390625,0.19140625,PermutationImportance,densenet121,CIFAR10,1
29,6.184366710484028,11.5400390625,0.19140625,PermutationImportance,densenet121,CIFAR10,1
30,6.6169198974967,11.5400390625,0.19140625,PermutationImportance,densenet121,CIFAR10,1
31,6.937064994126558,11.5400390625,0.19140625,PermutationImportance,densenet121,CIFAR10,1
32,6.286336336284876,11.5400390625,0.19140625,PermutationImportance,densenet121,CIFAR10,1
33,6.477170187979937,11.5400390625,0.19140625,PermutationImportance,densenet121,CIFAR10,1
34,7.372429348528385,11.5400390625,0.19140625,PermutationImportance,densenet121,CIFAR10,1
35,7.991919673979282,11.5400390625,0.19140625,PermutationImportance,densenet121,CIFAR10,1
36,7.025217268615961,11.5400390625,0.19140625,PermutationImportance,densenet121,CIFAR10,1
37,7.600813891738653,11.5400390625,0.19140625,PermutationImportance,densenet121,CIFAR10,1
38,6.324835952371359,11.5400390625,0.19140625,PermutationImportance,densenet121,CIFAR10,1
39,6.56739816814661,11.5400390625,0.19140625,PermutationImportance,densenet121,CIFAR10,1
40,6.718338508158922,11.5400390625,0.19140625,PermutationImportance,densenet121,CIFAR10,1
41,7.308613609522581,11.5400390625,0.19140625,PermutationImportance,densenet121,CIFAR10,1
42,6.733512368053198,11.5400390625,0.19140625,PermutationImportance,densenet121,CIFAR10,1
43,7.714686684310436,11.5400390625,0.19140625,PermutationImportance,densenet121,CIFAR10,1
44,7.386046715080738,11.5400390625,0.19140625,PermutationImportance,densenet121,CIFAR10,1
45,6.980637762695551,11.5400390625,0.19140625,PermutationImportance,densenet121,CIFAR10,1
46,6.5918964594602585,11.5400390625,0.19140625,PermutationImportance,densenet121,CIFAR10,1
47,6.2629843689501286,11.5400390625,0.19140625,PermutationImportance,densenet121,CIFAR10,1
48,7.344599414616823,11.5400390625,0.19140625,PermutationImportance,densenet121,CIFAR10,1
49,7.022205546498299,11.5400390625,0.19140625,PermutationImportance,densenet121,CIFAR10,1
