image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,3.077579192817211,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
1,3.1178114898502827,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
2,3.1929114647209644,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
3,3.200175281614065,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
4,3.2695264741778374,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
5,3.2180216535925865,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
6,3.2508893460035324,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
7,3.247377958148718,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
8,3.1724678426980972,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
9,3.080903809517622,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
10,3.1615817099809647,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
11,3.1210041865706444,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
12,5.633854743093252,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
13,6.486230991780758,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
14,6.489229805767536,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
15,6.477039217948914,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
16,6.48716164380312,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
17,5.481096770614386,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
18,2.986170556396246,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
19,3.1569663248956203,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
20,3.114471949636936,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
21,3.2245663851499557,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
22,3.136904537677765,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
23,3.155888471752405,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
24,3.173347905278206,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
25,3.1810951940715313,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
26,3.250127285718918,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
27,3.2741971388459206,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
28,3.107784431427717,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
29,3.130041804164648,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
30,3.1029207184910774,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
31,3.1278241723775864,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
32,3.0960236452519894,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
33,3.0981782637536526,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
34,3.079934425652027,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
35,3.1257138550281525,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
36,3.146038893610239,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
37,3.8444536104798317,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
38,6.484063893556595,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
39,6.47260108217597,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
40,6.48546901717782,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
41,6.485323868691921,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
42,4.3754422925412655,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
43,3.0012365505099297,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
44,3.384159255772829,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
45,3.809439290314913,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
46,3.5877006128430367,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
47,6.285060301423073,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
48,6.480006497353315,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
49,6.01011873409152,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
50,2.863078963011503,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
51,3.057336773723364,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
52,2.8879746049642563,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
53,2.8375632390379906,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
54,2.9557512886822224,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
55,2.9099782295525074,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
56,2.952597625553608,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
57,3.904215771704912,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
58,6.48323268070817,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
59,6.4852191135287285,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
60,6.484838090837002,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
61,5.8736239187419415,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
62,3.4736002683639526,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
63,6.484139714390039,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
64,4.90675862506032,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
65,3.018787607550621,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
66,2.819584734737873,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
67,2.8553172796964645,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
68,2.8251900151371956,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
69,3.128752924501896,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
70,2.900506790727377,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
71,2.9168237559497356,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
72,4.293094139546156,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
73,6.485339015722275,11.5400390625,0.19140625,PermutationImportance,densenet121,ImageNet,1
