image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,6.497098915278912,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
1,7.892212528735399,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
2,7.541240755468607,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
3,6.949902523308992,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
4,6.828597828745842,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
5,7.003662813454866,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
6,6.405377622693777,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
7,6.986133735626936,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
8,6.949054233729839,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
9,6.506555784493685,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
10,6.895190879702568,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
11,6.5724667981266975,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
12,6.634649585932493,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
13,6.867812570184469,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
14,7.1830647476017475,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
15,7.3480807691812515,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
16,6.215844973921776,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
17,6.496814660727978,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
18,6.408693753182888,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
19,7.873909551650286,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
20,7.289595875889063,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
21,7.442847196012735,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
22,7.160806056112051,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
23,6.563708797097206,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
24,6.501366309821606,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
25,6.871356915682554,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
26,7.020044256001711,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
27,7.430091984570026,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
28,6.788646452128887,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
29,6.362708207219839,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
30,7.064096342772245,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
31,7.577310852706432,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
32,7.53474410623312,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
33,6.074853990226984,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
34,6.39154526591301,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
35,6.526512403041124,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
36,6.985860250890255,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
37,6.381321161985397,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
38,6.632943272590637,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
39,6.846913423389196,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
40,6.308957297354937,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
41,6.723192501813173,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
42,6.650154430419207,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
43,6.170066192746162,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
44,6.443330064415932,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
45,6.690936669707298,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
46,7.024368025362492,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
47,6.2219803631305695,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
48,6.510612573474646,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
49,7.054550055414438,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
50,6.260778300464153,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
51,7.07773020863533,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
52,7.490697540342808,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
53,6.839582949876785,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
54,6.24505577608943,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
55,6.186539925634861,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
56,6.202282499521971,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
57,6.811371892690659,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
58,7.086650848388672,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
59,6.948038745671511,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
60,6.488147348165512,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
61,6.602188307791948,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
62,6.187358345836401,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
63,6.516180697828531,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
64,7.6762888841331005,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
65,6.729840435087681,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
66,6.4533209800720215,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
67,6.8636645302176476,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
68,7.300312962383032,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
69,7.117113005369902,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
70,6.894179079681635,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
71,6.808588143438101,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
72,6.383283730596304,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
73,6.3596876338124275,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
74,6.457536432892084,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
75,6.400137849152088,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
76,6.392201479524374,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
77,6.526372641324997,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
78,6.542943757027388,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
79,7.3685079254209995,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
80,6.503987606614828,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
81,7.600428860634565,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
82,6.3607302606105804,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
83,6.566953416913748,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
84,8.310603465884924,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
85,6.850384071469307,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
86,7.05351035669446,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
87,8.17728815600276,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
88,6.276307608932257,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
89,6.486817069351673,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
90,6.581460274755955,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
91,7.247945379465818,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
92,6.4434607326984406,12.4619140625,0.19140625,PermutationImportance,densenet121,STL10,1
