image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,2.9450312107801437,11.5400390625,0.19140625,PermutationImportance,densenet121,STL10,1
1,2.9805795028805733,11.5400390625,0.19140625,PermutationImportance,densenet121,STL10,1
2,2.971099477261305,11.5400390625,0.19140625,PermutationImportance,densenet121,STL10,1
3,3.012149639427662,11.5400390625,0.19140625,PermutationImportance,densenet121,STL10,1
4,3.007363062351942,11.5400390625,0.19140625,PermutationImportance,densenet121,STL10,1
5,4.476072050631046,11.5400390625,0.19140625,PermutationImportance,densenet121,STL10,1
6,6.483997568488121,11.5400390625,0.19140625,PermutationImportance,densenet121,STL10,1
7,6.487267587333918,11.5400390625,0.19140625,PermutationImportance,densenet121,STL10,1
8,6.48517906293273,11.5400390625,0.19140625,PermutationImportance,densenet121,STL10,1
9,6.486794546246529,11.5400390625,0.19140625,PermutationImportance,densenet121,STL10,1
10,4.322368077933788,11.5400390625,0.19140625,PermutationImportance,densenet121,STL10,1
11,2.901913318783045,11.5400390625,0.19140625,PermutationImportance,densenet121,STL10,1
12,3.0682622864842415,11.5400390625,0.19140625,PermutationImportance,densenet121,STL10,1
13,3.582205578684807,11.5400390625,0.19140625,PermutationImportance,densenet121,STL10,1
14,3.543071538209915,11.5400390625,0.19140625,PermutationImportance,densenet121,STL10,1
15,3.6462505869567394,11.5400390625,0.19140625,PermutationImportance,densenet121,STL10,1
16,6.1440014243125916,11.5400390625,0.19140625,PermutationImportance,densenet121,STL10,1
17,6.477806072682142,11.5400390625,0.19140625,PermutationImportance,densenet121,STL10,1
18,6.478818420320749,11.5400390625,0.19140625,PermutationImportance,densenet121,STL10,1
19,5.253701496869326,11.5400390625,0.19140625,PermutationImportance,densenet121,STL10,1
20,3.1787742599844933,11.5400390625,0.19140625,PermutationImportance,densenet121,STL10,1
21,2.9165056869387627,11.5400390625,0.19140625,PermutationImportance,densenet121,STL10,1
22,5.7763701826334,11.5400390625,0.19140625,PermutationImportance,densenet121,STL10,1
23,6.482356544584036,11.5400390625,0.19140625,PermutationImportance,densenet121,STL10,1
24,3.6420061513781548,11.5400390625,0.19140625,PermutationImportance,densenet121,STL10,1
25,3.011953718960285,11.5400390625,0.19140625,PermutationImportance,densenet121,STL10,1
26,3.0347480922937393,11.5400390625,0.19140625,PermutationImportance,densenet121,STL10,1
27,3.164500202983618,11.5400390625,0.19140625,PermutationImportance,densenet121,STL10,1
28,5.837542124092579,11.5400390625,0.19140625,PermutationImportance,densenet121,STL10,1
29,6.484313141554594,11.5400390625,0.19140625,PermutationImportance,densenet121,STL10,1
30,6.48120915517211,11.5400390625,0.19140625,PermutationImportance,densenet121,STL10,1
31,5.3441931419074535,11.5400390625,0.19140625,PermutationImportance,densenet121,STL10,1
32,2.968863360583782,11.5400390625,0.19140625,PermutationImportance,densenet121,STL10,1
33,3.132140178233385,11.5400390625,0.19140625,PermutationImportance,densenet121,STL10,1
34,3.2943796291947365,11.5400390625,0.19140625,PermutationImportance,densenet121,STL10,1
35,3.116359144449234,11.5400390625,0.19140625,PermutationImportance,densenet121,STL10,1
36,3.206157885491848,11.5400390625,0.19140625,PermutationImportance,densenet121,STL10,1
37,3.140796437859535,11.5400390625,0.19140625,PermutationImportance,densenet121,STL10,1
38,3.2367235347628593,11.5400390625,0.19140625,PermutationImportance,densenet121,STL10,1
39,3.232901182025671,11.5400390625,0.19140625,PermutationImportance,densenet121,STL10,1
40,3.212763324379921,11.5400390625,0.19140625,PermutationImportance,densenet121,STL10,1
41,3.213793445378542,11.5400390625,0.19140625,PermutationImportance,densenet121,STL10,1
42,3.3051365725696087,11.5400390625,0.19140625,PermutationImportance,densenet121,STL10,1
43,3.3052970580756664,11.5400390625,0.19140625,PermutationImportance,densenet121,STL10,1
44,3.354912769049406,11.5400390625,0.19140625,PermutationImportance,densenet121,STL10,1
45,3.2849133647978306,11.5400390625,0.19140625,PermutationImportance,densenet121,STL10,1
