image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,2.507269219029695,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
1,2.505627259146422,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
2,2.5289894479792565,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
3,2.533630761085078,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
4,2.5139460859354585,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
5,2.5077167639974505,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
6,2.534411833854392,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
7,2.5358162000775337,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
8,2.5160495860036463,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
9,2.553686924977228,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
10,2.5194166698493063,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
11,2.535478982841596,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
12,2.5105249260086566,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
13,2.495253843953833,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
14,2.5261747101321816,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
15,2.5315752010792494,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
16,2.528759190812707,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
17,2.551507320953533,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
18,2.554722191998735,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
19,2.5321820159442723,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
20,2.50675438484177,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
21,2.507261493941769,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
22,2.531617321074009,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
23,2.527905704919249,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
24,2.5086734869983047,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
25,2.51057064300403,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
26,2.5238447489682585,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
27,2.5407887981273234,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
28,2.520451396005228,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
29,2.5102560059167445,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
30,2.537716749822721,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
31,2.5354455299675465,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
32,2.5106233190745115,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
33,2.505642085103318,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
34,2.5264303451403975,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
35,2.5292222751304507,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
36,2.5032475790940225,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
37,2.5073705308604985,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
38,2.5246908289846033,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
39,2.542884664144367,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
40,2.5448276880197227,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
41,2.5606431278865784,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
42,2.524055256973952,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
43,2.533879532944411,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
44,2.5147604048252106,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
45,2.5139601388946176,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
46,2.5234584549907595,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
47,2.533863394986838,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
48,2.5127811019774526,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
49,2.5148041381035,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
50,2.521965063875541,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
51,2.54590644990094,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
52,2.5189147358760238,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
53,2.5256562680006027,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
54,2.5416195900179446,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
55,2.556704154005274,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
56,2.5965097851585597,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
57,2.5576121809426695,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
58,2.5471819541417062,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
59,2.509109047940001,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
60,2.523319361032918,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
61,2.5304085470270365,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
62,2.5397355360910296,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
63,2.5124397790059447,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
64,2.559292800957337,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
65,2.5506598530337214,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
66,2.5409125820733607,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
67,2.5135006150230765,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
68,2.5074418620206416,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
69,2.5212364809121937,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
70,2.5366903180256486,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
71,2.5088564578909427,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
72,2.5134701740462333,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
73,2.52350991894491,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
74,2.5404204819351435,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
75,2.510322723072022,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
76,2.5131637828890234,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
77,2.530117321992293,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
78,2.540461126016453,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
79,2.512043759925291,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
80,2.514684540918097,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
81,2.525214715162292,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
82,2.5414624449331313,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
83,2.5103538339026272,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
84,2.51375489984639,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
85,2.5245083158370107,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
86,2.54054539790377,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
87,2.5269416680093855,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
88,2.566247639944777,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
89,2.540447286097333,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
90,2.5381839890033007,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
91,2.5103077958337963,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
92,2.5209964639507234,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
93,2.524738068925217,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
94,2.534685753053054,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
95,2.5080028581433,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
96,2.5245790870394558,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
97,2.528957844013348,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
98,2.5479612168855965,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
99,2.512355523183942,135.2861328125,0.19140625,PermutationImportance,densenet121,STL10,1
