image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,1.5363464914262295,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
1,1.5176229551434517,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
2,1.6171520948410034,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
3,1.511384829878807,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
4,1.5104038789868355,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
5,1.487702388316393,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
6,1.5413507409393787,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
7,1.6017419286072254,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
8,1.5464353114366531,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
9,1.5365697517991066,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
10,1.5465177297592163,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
11,1.5892419628798962,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
12,1.5406166799366474,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
13,1.6089933700859547,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
14,1.5956238359212875,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
15,1.5176242552697659,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
16,1.5140890441834927,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
17,1.574760302901268,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
18,1.5220945104956627,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
19,1.5359833538532257,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
20,1.60603890940547,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
21,1.8969577923417091,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
22,2.1333301290869713,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
23,2.1521295458078384,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
24,2.1337135694921017,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
25,2.1338004879653454,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
26,2.134333409368992,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
27,2.195233568549156,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
28,2.146901350468397,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
29,2.144334092736244,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
30,2.141606390476227,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
31,2.1424441412091255,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
32,2.073393825441599,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
33,1.5347569361329079,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
34,1.537520032376051,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
35,1.567658293992281,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
36,1.6590003855526447,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
37,1.5512286946177483,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
38,1.5303796529769897,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
39,1.5291986726224422,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
40,1.52140324562788,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
41,1.5857995077967644,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
42,1.5536607429385185,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
43,1.519925493746996,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
44,1.632190890610218,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
45,1.5860378369688988,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
46,1.5338200852274895,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
47,1.5071560256183147,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
48,1.534255787730217,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
49,1.5074852667748928,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
50,1.4951413534581661,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
51,1.6052630506455898,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
52,1.5822828523814678,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
53,1.617694403976202,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
54,1.50868758559227,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
55,1.5881272181868553,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
56,1.4971831515431404,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
57,1.5986567102372646,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
