image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,1.4087833920493722,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
1,1.4322829530574381,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
2,1.4140150707680732,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
3,1.4051230989862233,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
4,1.4009469440206885,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
5,1.4043210628442466,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
6,1.4081758060492575,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
7,1.4122788910754025,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
8,1.4308059809263796,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
9,1.418994835112244,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
10,1.406463687075302,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
11,1.4254662580788136,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
12,1.4649221759755164,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
13,1.440050353994593,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
14,1.4038940211758018,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
15,1.4300561358686537,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
16,1.405713118845597,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
17,1.4147038590162992,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
18,1.399537418037653,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
19,1.4028865760192275,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
20,1.420762729132548,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
21,1.4123689068946987,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
22,1.4273724989034235,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
23,1.407424891833216,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
24,1.400482752127573,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
25,1.404721616068855,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
26,1.406264407094568,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
27,1.410513258073479,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
28,1.4138551538344473,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
29,1.4276523268781602,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
30,1.4166035391390324,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
31,1.4098827498964965,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
32,1.40246094414033,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
33,1.4016116498969495,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
34,1.4131253820378333,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
35,1.4076408229302615,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
36,1.4241035461891443,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
37,1.4065679120831192,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
38,1.4090090510435402,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
39,1.4040848619770259,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
40,1.4032677160575986,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
41,1.4063949391711503,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
42,1.408738979138434,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
43,1.4290235310327262,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
44,1.4092286000959575,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
45,1.408349968958646,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
46,1.407256687991321,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
47,1.4067945741117,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
48,1.4074904769659042,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
49,1.4145515051204711,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
50,1.4218532631639391,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
51,1.4179275650531054,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
52,1.3982158929575235,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
53,1.4278166729491204,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
54,1.4256473490968347,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
55,1.4372305138967931,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
56,1.4029513499699533,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
57,1.4204819109290838,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
58,1.4135252530686557,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
59,1.4064418179914355,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
60,1.4060799069702625,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
61,1.4035539398901165,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
62,1.4062723750248551,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
63,1.4220957909710705,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
64,1.421746687963605,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
65,1.4132159710861742,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
66,1.4073159738909453,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
67,1.4000255151186138,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
68,1.40762820513919,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
69,1.4020041609182954,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
70,1.4174269780050963,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,CIFAR10,1
