image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,1.6317071802914143,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,ImageNet,1
1,1.4915384016931057,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,ImageNet,1
2,1.5196986198425293,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,ImageNet,1
3,1.5431671403348446,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,ImageNet,1
4,1.5243165418505669,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,ImageNet,1
5,1.5226237252354622,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,ImageNet,1
6,1.5038985088467598,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,ImageNet,1
7,1.5178360007703304,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,ImageNet,1
8,1.4727916605770588,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,ImageNet,1
9,1.4585999846458435,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,ImageNet,1
10,1.4619680233299732,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,ImageNet,1
11,1.506266638636589,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,ImageNet,1
12,1.532463252544403,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,ImageNet,1
13,1.5289446152746677,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,ImageNet,1
14,1.575659915804863,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,ImageNet,1
15,1.534280825406313,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,ImageNet,1
16,1.5160982050001621,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,ImageNet,1
17,1.5683244690299034,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,ImageNet,1
18,1.4916565157473087,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,ImageNet,1
19,1.5276605114340782,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,ImageNet,1
20,1.6054007932543755,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,ImageNet,1
21,1.5061395540833473,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,ImageNet,1
22,1.7039103657007217,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,ImageNet,1
23,2.142308931797743,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,ImageNet,1
24,2.1407041773200035,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,ImageNet,1
25,2.15454263985157,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,ImageNet,1
26,2.184190049767494,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,ImageNet,1
27,2.13624744489789,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,ImageNet,1
28,1.737612061202526,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,ImageNet,1
29,1.4993347525596619,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,ImageNet,1
30,1.4836010858416557,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,ImageNet,1
31,1.6383225098252296,11.1142578125,0.19140625,PermutationImportance,efficientnet-b0,ImageNet,1
