image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,1.3247810790780932,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,ImageNet,1
1,1.3428331399336457,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,ImageNet,1
2,1.3110431199893355,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,ImageNet,1
3,1.311585959047079,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,ImageNet,1
4,1.3348241241183132,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,ImageNet,1
5,1.3114639068953693,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,ImageNet,1
6,1.3115290650166571,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,ImageNet,1
7,1.306668696925044,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,ImageNet,1
8,1.3091390419285744,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,ImageNet,1
9,1.3125642170198262,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,ImageNet,1
10,1.312080608913675,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,ImageNet,1
11,1.3254362610168755,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,ImageNet,1
12,1.309068595059216,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,ImageNet,1
13,1.3090994409285486,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,ImageNet,1
14,1.3082366900052875,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,ImageNet,1
15,1.3035833570174873,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,ImageNet,1
16,1.3102377410978079,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,ImageNet,1
17,1.3061103159561753,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,ImageNet,1
18,1.3127921470440924,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,ImageNet,1
19,1.3438699590042233,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,ImageNet,1
20,1.3083888900000602,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,ImageNet,1
