image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,1.4027659129351377,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
1,1.4120780671946704,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
2,1.4008410011883825,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
3,1.4009539000689983,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
4,1.4130700819659978,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
5,1.4094122759997845,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
6,1.4683495189528912,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
7,1.4070358329918236,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
8,1.4008211600594223,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
9,1.4016240171622485,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
10,1.40847602696158,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
11,1.4044664748944342,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
12,1.4048609710298479,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
13,1.430141436867416,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
14,1.4061500891111791,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
15,1.4143425768706948,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
16,1.4248417280614376,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
17,1.4186929208226502,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
18,1.42187798791565,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
19,1.4066198309883475,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
20,1.4301197149325162,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
21,1.4007295360788703,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
22,1.3987767070066184,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
23,1.3989094260614365,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
24,1.4029743899591267,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
25,1.4057315429672599,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
26,1.4071922427974641,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
27,1.429276909912005,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
28,1.4071398838423193,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
29,1.4014768220949918,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
30,1.4016219291370362,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
31,1.402469228953123,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
32,1.4101267119403929,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
33,1.4014392090030015,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
34,1.4329741320107132,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
35,1.4083173680119216,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
36,1.399372645886615,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
37,1.408106392947957,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
38,1.4005615347996354,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
39,1.408760917140171,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
40,1.3984797541052103,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
41,1.4277118761092424,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
42,1.418241715990007,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
43,1.421825991012156,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
44,1.4212173719424754,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
45,1.4203077398706228,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
46,1.422225559828803,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
47,1.4108348828740418,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
48,1.4356512478552759,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
49,1.4121376629918814,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
50,1.3993173118215054,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
51,1.3985950930509716,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
52,1.406239703996107,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
53,1.4090755609795451,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
54,1.4023575969040394,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
55,1.424615499097854,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
56,1.4101016409695148,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
57,1.3951525380834937,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
58,1.424109990010038,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
59,1.4219142210204154,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
60,1.4288772740401328,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
61,1.4016309010330588,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
62,1.425269529921934,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
63,1.408750656992197,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
64,1.4029687750153244,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
65,1.3990537109784782,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
66,1.4057988268323243,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
67,1.4121199380606413,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
68,1.4050996680743992,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
69,1.4189050479326397,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
70,1.417466666083783,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
71,1.4027296239510179,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
72,1.3985007610172033,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
73,1.4036554349586368,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
74,1.4144359619822353,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
75,1.401678540976718,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
76,1.417393509997055,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
77,1.4211350660771132,134.5205078125,0.19140625,PermutationImportance,efficientnet-b0,STL10,1
