image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,4.192647323012352,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
1,4.190459065139294,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
2,4.190827619284391,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
3,4.196551479399204,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
4,4.19253983348608,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
5,4.192937199026346,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
6,4.197543080896139,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
7,4.195295464247465,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
8,4.190460659563541,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
9,4.1945018246769905,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
10,4.193759810179472,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
11,4.188965491950512,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
12,4.193022880703211,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
13,4.191120631992817,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
14,4.193637035787106,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
15,4.192397095263004,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
16,4.192187711596489,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
17,4.19249164685607,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
18,4.19636569917202,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
19,4.192279201000929,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
20,4.197412181645632,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
21,4.1930697076022625,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
22,4.1941071674227715,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
23,4.1925735510885715,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
24,4.191102132201195,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
25,4.193503849208355,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
26,4.189638674259186,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
27,4.194420766085386,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
28,4.194404784590006,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
29,4.190955463796854,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
30,4.196847852319479,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
31,4.207825914025307,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
32,4.208974152803421,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
33,4.211265418678522,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
34,4.202391792088747,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
35,4.209936864674091,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
36,4.190247364342213,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
37,4.190061300992966,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
38,4.193460654467344,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
39,4.203098174184561,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
40,4.200815714895725,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
41,4.1950362250208855,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
42,4.2015513107180595,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
43,4.197273343801498,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
44,4.1934136711061,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
45,4.191917307674885,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
46,4.1941252164542675,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
47,4.193087596446276,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
48,4.189181536436081,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
49,4.201690636575222,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
50,4.193783227354288,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
51,4.194668006151915,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
52,4.198321744799614,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
53,4.191813260316849,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
54,4.194626647979021,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
55,4.190352790057659,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
56,4.191259332001209,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
57,4.190705321729183,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
58,4.193563956767321,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
59,4.1946745328605175,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
60,4.190927341580391,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
61,4.192979708313942,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
62,4.190784249454737,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
63,4.186062756925821,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
64,4.191451217979193,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
65,4.19223316013813,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
66,4.196032952517271,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
67,4.193378284573555,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
68,4.194822438061237,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
69,4.199443697929382,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
70,4.197045557200909,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
71,4.197573736310005,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
72,4.190220154821873,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
73,4.196240022778511,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
74,4.191725753247738,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
75,4.195396486669779,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
76,4.187877543270588,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
77,4.192120850086212,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
78,4.210801001638174,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
79,4.200072813779116,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
80,4.188790045678616,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
81,4.19141173735261,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
82,4.190256971865892,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
83,4.1925643011927605,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
84,4.188391998410225,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
85,4.192435339093208,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
86,4.188795547932386,28.5009765625,0.19140625,PermutationImportance,resnet50,CIFAR10,1
