image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,1.0032140598632395,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
1,1.0125106661580503,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
2,1.0222143668215722,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
3,1.020005718106404,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
4,1.0261808689683676,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
5,1.0129990980494767,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
6,1.0026997490786016,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
7,1.0073243130464107,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
8,1.0291979790199548,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
9,1.0051091979257762,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
10,1.0041749770753086,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
11,1.0054707420058548,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
12,1.0020361698698252,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
13,1.0084189581684768,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
14,1.0114788131322712,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
15,1.0127412681467831,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
16,1.0043454659171402,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
17,1.0144500399474055,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
18,1.0166838171426207,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
19,1.0086384338792413,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
20,1.0026385770179331,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
21,1.0015055928379297,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
22,1.0008062080014497,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
23,1.0074653290212154,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
24,1.008450104156509,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
25,1.010472557041794,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
26,1.0021969790104777,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
27,1.0194224759470671,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
28,1.0160531629808247,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
29,1.007311614928767,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
30,1.003854980925098,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
31,1.0034651379100978,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
32,1.0093687719199806,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
33,1.0137029530014843,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
34,1.0109254280105233,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
35,1.0067804099526256,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
36,1.0085344100371003,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
37,1.0295435080770403,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
38,1.0118938898667693,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
39,1.0060750788543373,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
40,1.0054196601267904,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
41,1.0031772907823324,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
42,1.0051775369793177,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
43,1.0105727729387581,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
44,1.0056987020652741,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
45,1.0137958240229636,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
46,1.0084226101171225,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
47,1.0281157370191067,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
48,1.0061178840696812,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
49,1.0071357099805027,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
50,1.0044153700582683,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
51,1.0048685639631003,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
52,1.0081908849533647,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
53,1.0136782319750637,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
54,1.0421257209964097,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
55,1.0238488640170544,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
56,1.0062204969581217,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
57,1.0318171109538525,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
58,1.0124478589277714,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
59,1.0058260899968445,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
60,1.014205252053216,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
61,1.0164331020787358,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
62,1.0208830181509256,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
63,1.0288424028549343,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
64,1.0134154630359262,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
65,1.0038847348187119,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
66,1.0093282631132752,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
67,1.0276469439268112,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
68,1.0073845030274242,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
69,1.002193653024733,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
70,1.0062102200463414,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
71,1.0043757178355008,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
72,1.0073340570088476,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
73,1.0140921550337225,136.8173828125,0.19140625,PermutationImportance,resnet50,CIFAR10,1
