image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,3.5781276375055313,12.3056640625,0.19140625,PermutationImportance,resnet50,ImageNet,1
1,3.4389200136065483,12.3056640625,0.19140625,PermutationImportance,resnet50,ImageNet,1
2,3.4841376803815365,12.3056640625,0.19140625,PermutationImportance,resnet50,ImageNet,1
3,3.4444502107799053,12.3056640625,0.19140625,PermutationImportance,resnet50,ImageNet,1
4,3.4808829724788666,12.3056640625,0.19140625,PermutationImportance,resnet50,ImageNet,1
5,3.5198488794267178,12.3056640625,0.19140625,PermutationImportance,resnet50,ImageNet,1
6,3.444409117102623,12.3056640625,0.19140625,PermutationImportance,resnet50,ImageNet,1
7,3.489198800176382,12.3056640625,0.19140625,PermutationImportance,resnet50,ImageNet,1
8,3.541660316288471,12.3056640625,0.19140625,PermutationImportance,resnet50,ImageNet,1
9,3.481554202735424,12.3056640625,0.19140625,PermutationImportance,resnet50,ImageNet,1
10,3.494404748082161,12.3056640625,0.19140625,PermutationImportance,resnet50,ImageNet,1
11,3.4660977721214294,12.3056640625,0.19140625,PermutationImportance,resnet50,ImageNet,1
12,3.4866731949150562,12.3056640625,0.19140625,PermutationImportance,resnet50,ImageNet,1
13,3.4648531898856163,12.3056640625,0.19140625,PermutationImportance,resnet50,ImageNet,1
14,3.4636992290616035,12.3056640625,0.19140625,PermutationImportance,resnet50,ImageNet,1
15,3.5437119156122208,12.3056640625,0.19140625,PermutationImportance,resnet50,ImageNet,1
16,3.5594336465001106,12.3056640625,0.19140625,PermutationImportance,resnet50,ImageNet,1
17,3.4744838289916515,12.3056640625,0.19140625,PermutationImportance,resnet50,ImageNet,1
18,3.5195568203926086,12.3056640625,0.19140625,PermutationImportance,resnet50,ImageNet,1
19,3.606577306985855,12.3056640625,0.19140625,PermutationImportance,resnet50,ImageNet,1
20,3.456571027636528,12.3056640625,0.19140625,PermutationImportance,resnet50,ImageNet,1
21,3.444209326058626,12.3056640625,0.19140625,PermutationImportance,resnet50,ImageNet,1
22,3.4753370322287083,12.3056640625,0.19140625,PermutationImportance,resnet50,ImageNet,1
23,3.506350662559271,12.3056640625,0.19140625,PermutationImportance,resnet50,ImageNet,1
24,3.485777150839567,12.3056640625,0.19140625,PermutationImportance,resnet50,ImageNet,1
25,3.5474123880267143,12.3056640625,0.19140625,PermutationImportance,resnet50,ImageNet,1
26,3.538183193653822,12.3056640625,0.19140625,PermutationImportance,resnet50,ImageNet,1
27,3.5210331603884697,12.3056640625,0.19140625,PermutationImportance,resnet50,ImageNet,1
28,3.502132296562195,12.3056640625,0.19140625,PermutationImportance,resnet50,ImageNet,1
29,3.5858643539249897,12.3056640625,0.19140625,PermutationImportance,resnet50,ImageNet,1
30,3.4496873915195465,12.3056640625,0.19140625,PermutationImportance,resnet50,ImageNet,1
31,3.464369550347328,12.3056640625,0.19140625,PermutationImportance,resnet50,ImageNet,1
32,3.450923901051283,12.3056640625,0.19140625,PermutationImportance,resnet50,ImageNet,1
33,3.531421083956957,12.3056640625,0.19140625,PermutationImportance,resnet50,ImageNet,1
34,3.5807644464075565,12.3056640625,0.19140625,PermutationImportance,resnet50,ImageNet,1
35,3.53373259678483,12.3056640625,0.19140625,PermutationImportance,resnet50,ImageNet,1
36,3.496837455779314,12.3056640625,0.19140625,PermutationImportance,resnet50,ImageNet,1
37,3.467302344739437,12.3056640625,0.19140625,PermutationImportance,resnet50,ImageNet,1
38,3.492022193968296,12.3056640625,0.19140625,PermutationImportance,resnet50,ImageNet,1
39,3.43339179828763,12.3056640625,0.19140625,PermutationImportance,resnet50,ImageNet,1
40,3.4340635538101196,12.3056640625,0.19140625,PermutationImportance,resnet50,ImageNet,1
41,3.4482655338943005,12.3056640625,0.19140625,PermutationImportance,resnet50,ImageNet,1
42,3.4805124029517174,12.3056640625,0.19140625,PermutationImportance,resnet50,ImageNet,1
43,3.443983271718025,12.3056640625,0.19140625,PermutationImportance,resnet50,ImageNet,1
44,3.452967181801796,12.3056640625,0.19140625,PermutationImportance,resnet50,ImageNet,1
45,3.4549145996570587,12.3056640625,0.19140625,PermutationImportance,resnet50,ImageNet,1
46,3.5330885499715805,12.3056640625,0.19140625,PermutationImportance,resnet50,ImageNet,1
47,3.4605786129832268,12.3056640625,0.19140625,PermutationImportance,resnet50,ImageNet,1
48,3.4291430450975895,12.3056640625,0.19140625,PermutationImportance,resnet50,ImageNet,1
49,3.460524123162031,12.3056640625,0.19140625,PermutationImportance,resnet50,ImageNet,1
50,3.470853589475155,12.3056640625,0.19140625,PermutationImportance,resnet50,ImageNet,1
51,3.544081311672926,12.3056640625,0.19140625,PermutationImportance,resnet50,ImageNet,1
52,3.435164913535118,12.3056640625,0.19140625,PermutationImportance,resnet50,ImageNet,1
