image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,3.5026417896151543,11.1142578125,0.19140625,PermutationImportance,resnet50,STL10,1
1,3.43653741851449,11.1142578125,0.19140625,PermutationImportance,resnet50,STL10,1
2,3.558922577649355,11.1142578125,0.19140625,PermutationImportance,resnet50,STL10,1
3,3.48088825494051,11.1142578125,0.19140625,PermutationImportance,resnet50,STL10,1
4,3.465542059391737,11.1142578125,0.19140625,PermutationImportance,resnet50,STL10,1
5,3.4427371695637703,11.1142578125,0.19140625,PermutationImportance,resnet50,STL10,1
6,3.517730798572302,11.1142578125,0.19140625,PermutationImportance,resnet50,STL10,1
7,3.4615207128226757,11.1142578125,0.19140625,PermutationImportance,resnet50,STL10,1
8,3.5065404921770096,11.1142578125,0.19140625,PermutationImportance,resnet50,STL10,1
9,3.5897448025643826,11.1142578125,0.19140625,PermutationImportance,resnet50,STL10,1
10,3.4267826192080975,11.1142578125,0.19140625,PermutationImportance,resnet50,STL10,1
11,3.504439663141966,11.1142578125,0.19140625,PermutationImportance,resnet50,STL10,1
12,3.5194383561611176,11.1142578125,0.19140625,PermutationImportance,resnet50,STL10,1
13,3.478057973086834,11.1142578125,0.19140625,PermutationImportance,resnet50,STL10,1
14,3.5092188343405724,11.1142578125,0.19140625,PermutationImportance,resnet50,STL10,1
15,3.581998609006405,11.1142578125,0.19140625,PermutationImportance,resnet50,STL10,1
16,3.564811509102583,11.1142578125,0.19140625,PermutationImportance,resnet50,STL10,1
17,3.5532587617635727,11.1142578125,0.19140625,PermutationImportance,resnet50,STL10,1
18,3.511583473533392,11.1142578125,0.19140625,PermutationImportance,resnet50,STL10,1
19,3.5651573687791824,11.1142578125,0.19140625,PermutationImportance,resnet50,STL10,1
20,3.540248040109873,11.1142578125,0.19140625,PermutationImportance,resnet50,STL10,1
21,3.510315828025341,11.1142578125,0.19140625,PermutationImportance,resnet50,STL10,1
22,3.4845262244343758,11.1142578125,0.19140625,PermutationImportance,resnet50,STL10,1
23,3.524725701659918,11.1142578125,0.19140625,PermutationImportance,resnet50,STL10,1
24,3.435971789062023,11.1142578125,0.19140625,PermutationImportance,resnet50,STL10,1
25,3.4656851291656494,11.1142578125,0.19140625,PermutationImportance,resnet50,STL10,1
26,3.4773096218705177,11.1142578125,0.19140625,PermutationImportance,resnet50,STL10,1
27,3.5047138333320618,11.1142578125,0.19140625,PermutationImportance,resnet50,STL10,1
28,3.502575308084488,11.1142578125,0.19140625,PermutationImportance,resnet50,STL10,1
29,3.615313094109297,11.1142578125,0.19140625,PermutationImportance,resnet50,STL10,1
30,3.481515295803547,11.1142578125,0.19140625,PermutationImportance,resnet50,STL10,1
31,3.6187412552535534,11.1142578125,0.19140625,PermutationImportance,resnet50,STL10,1
32,3.5740912444889545,11.1142578125,0.19140625,PermutationImportance,resnet50,STL10,1
33,3.5073390379548073,11.1142578125,0.19140625,PermutationImportance,resnet50,STL10,1
34,3.4337881058454514,11.1142578125,0.19140625,PermutationImportance,resnet50,STL10,1
35,3.454867009073496,11.1142578125,0.19140625,PermutationImportance,resnet50,STL10,1
36,3.473814532160759,11.1142578125,0.19140625,PermutationImportance,resnet50,STL10,1
37,3.4971502535045147,11.1142578125,0.19140625,PermutationImportance,resnet50,STL10,1
38,3.549718089401722,11.1142578125,0.19140625,PermutationImportance,resnet50,STL10,1
39,3.660246215760708,11.1142578125,0.19140625,PermutationImportance,resnet50,STL10,1
40,3.4685550071299076,11.1142578125,0.19140625,PermutationImportance,resnet50,STL10,1
41,3.535911440849304,11.1142578125,0.19140625,PermutationImportance,resnet50,STL10,1
42,3.6013472639024258,11.1142578125,0.19140625,PermutationImportance,resnet50,STL10,1
43,3.45835742354393,11.1142578125,0.19140625,PermutationImportance,resnet50,STL10,1
44,3.5111382082104683,11.1142578125,0.19140625,PermutationImportance,resnet50,STL10,1
45,3.4939685612916946,11.1142578125,0.19140625,PermutationImportance,resnet50,STL10,1
46,3.623512603342533,11.1142578125,0.19140625,PermutationImportance,resnet50,STL10,1
47,3.5749277621507645,11.1142578125,0.19140625,PermutationImportance,resnet50,STL10,1
48,3.6296013705432415,11.1142578125,0.19140625,PermutationImportance,resnet50,STL10,1
49,3.5334809571504593,11.1142578125,0.19140625,PermutationImportance,resnet50,STL10,1
50,3.6181851774454117,11.1142578125,0.19140625,PermutationImportance,resnet50,STL10,1
51,3.563948843628168,11.1142578125,0.19140625,PermutationImportance,resnet50,STL10,1
52,3.481690663844347,11.1142578125,0.19140625,PermutationImportance,resnet50,STL10,1
53,3.5969104766845703,11.1142578125,0.19140625,PermutationImportance,resnet50,STL10,1
54,3.4681755527853966,11.1142578125,0.19140625,PermutationImportance,resnet50,STL10,1
55,3.537320911884308,11.1142578125,0.19140625,PermutationImportance,resnet50,STL10,1
56,3.4580174535512924,11.1142578125,0.19140625,PermutationImportance,resnet50,STL10,1
