image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,1.8238352984189987,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
1,1.9577817395329475,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
2,4.197660636156797,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
3,4.198876533657312,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
4,4.1933948285877705,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
5,4.199917960911989,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
6,4.197490137070417,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
7,4.193115167319775,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
8,4.1992219015955925,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
9,4.1951403841376305,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
10,4.191986095160246,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
11,4.191588692367077,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
12,4.191339109092951,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
13,4.1921406686306,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
14,4.190129645168781,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
15,4.193722769618034,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
16,4.191483244299889,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
17,4.192234687507153,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
18,4.188614100217819,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
19,4.188435401767492,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
20,4.190445430576801,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
21,4.192775029689074,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
22,4.191282354295254,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
23,4.044406682252884,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
24,1.5466042198240757,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
25,2.1615103892982006,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
26,3.118160042911768,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
27,4.187672816216946,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
28,4.1899938099086285,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
29,4.19021650031209,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
30,4.18945400044322,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
31,4.192077964544296,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
32,4.190389547497034,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
33,4.193547643721104,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
34,4.190530002117157,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
35,4.191378902643919,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
36,4.190360199660063,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
37,4.192215863615274,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
38,4.195178009569645,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
39,4.1905612871050835,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
40,1.868185006082058,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
41,3.3853095956146717,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
42,4.187922604382038,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
43,4.19959158077836,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
44,4.199429269880056,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
45,4.196988072246313,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
46,4.1945838406682014,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
47,4.195961777120829,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
48,4.190564684569836,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
49,4.190334029495716,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
50,4.194154039025307,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
51,4.192045997828245,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
52,4.188245043158531,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
53,4.1920890882611275,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
54,4.189832933247089,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
55,4.190793488174677,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
56,4.188404716551304,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
57,4.1900329031050205,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
58,4.192331917583942,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
59,4.187294740229845,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
60,4.196220196783543,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
61,4.190983641892672,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
62,4.18800063803792,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
63,4.190766528248787,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
64,4.189234904944897,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
65,4.197120074182749,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
66,4.190794736146927,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
67,4.193304039537907,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
68,4.188325468450785,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
69,4.193817343562841,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
70,4.192017253488302,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
71,4.187426622956991,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
72,4.190439231693745,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
73,4.187945879995823,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
74,4.190464224666357,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
75,4.191552992910147,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
76,2.0800872817635536,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
77,1.9064192473888397,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
78,2.1230539306998253,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
79,2.1233587898314,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
80,2.1502585895359516,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
81,2.863306723535061,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
82,4.189881928265095,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
83,4.188431553542614,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
84,4.193031083792448,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
85,4.191417809575796,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
86,4.1887554451823235,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
87,4.188268344849348,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
88,4.188051529228687,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
89,4.195628013461828,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
90,4.187853220850229,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
91,4.193970877677202,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
92,4.190995641052723,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
93,4.191050101071596,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
94,4.191626586019993,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
95,4.188553769141436,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
96,4.193838197737932,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
97,4.189927361905575,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
98,4.188369393348694,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
99,4.198185034096241,28.5009765625,0.19140625,PermutationImportance,resnet50,STL10,1
