image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,1.2772403750568628,8.6640625,0.19140625,PermutationImportance,vit-b-16,ImageNet,1
1,1.2737520991358906,8.6640625,0.19140625,PermutationImportance,vit-b-16,ImageNet,1
2,1.2755041341297328,8.6640625,0.19140625,PermutationImportance,vit-b-16,ImageNet,1
3,1.2799304930958897,8.6640625,0.19140625,PermutationImportance,vit-b-16,ImageNet,1
4,1.2908172539900988,8.6640625,0.19140625,PermutationImportance,vit-b-16,ImageNet,1
5,1.2815118229482323,8.6640625,0.19140625,PermutationImportance,vit-b-16,ImageNet,1
6,1.2766953310929239,8.6640625,0.19140625,PermutationImportance,vit-b-16,ImageNet,1
7,1.2792831030674279,8.6640625,0.19140625,PermutationImportance,vit-b-16,ImageNet,1
8,1.2773745800368488,8.6640625,0.19140625,PermutationImportance,vit-b-16,ImageNet,1
9,1.2774881049990654,8.6640625,0.19140625,PermutationImportance,vit-b-16,ImageNet,1
10,1.2794945519417524,8.6640625,0.19140625,PermutationImportance,vit-b-16,ImageNet,1
11,1.2785950801335275,8.6640625,0.19140625,PermutationImportance,vit-b-16,ImageNet,1
12,1.2813885908108205,8.6640625,0.19140625,PermutationImportance,vit-b-16,ImageNet,1
13,1.2805607218760997,8.6640625,0.19140625,PermutationImportance,vit-b-16,ImageNet,1
14,1.2791982109192759,8.6640625,0.19140625,PermutationImportance,vit-b-16,ImageNet,1
15,1.2789297939743847,8.6640625,0.19140625,PermutationImportance,vit-b-16,ImageNet,1
16,1.2792511049192399,8.6640625,0.19140625,PermutationImportance,vit-b-16,ImageNet,1
17,1.283687791088596,8.6640625,0.19140625,PermutationImportance,vit-b-16,ImageNet,1
18,1.2793122858274728,8.6640625,0.19140625,PermutationImportance,vit-b-16,ImageNet,1
19,1.2797642210498452,8.6640625,0.19140625,PermutationImportance,vit-b-16,ImageNet,1
20,1.2861157280858606,8.6640625,0.19140625,PermutationImportance,vit-b-16,ImageNet,1
21,1.2808160311542451,8.6640625,0.19140625,PermutationImportance,vit-b-16,ImageNet,1
22,1.2794932208489627,8.6640625,0.19140625,PermutationImportance,vit-b-16,ImageNet,1
23,1.2819940929766744,8.6640625,0.19140625,PermutationImportance,vit-b-16,ImageNet,1
24,1.2838215730153024,8.6640625,0.19140625,PermutationImportance,vit-b-16,ImageNet,1
25,1.2831338550895452,8.6640625,0.19140625,PermutationImportance,vit-b-16,ImageNet,1
26,1.2814988701138645,8.6640625,0.19140625,PermutationImportance,vit-b-16,ImageNet,1
27,1.2807880528271198,8.6640625,0.19140625,PermutationImportance,vit-b-16,ImageNet,1
28,1.2877322961576283,8.6640625,0.19140625,PermutationImportance,vit-b-16,ImageNet,1
29,1.2813397769350559,8.6640625,0.19140625,PermutationImportance,vit-b-16,ImageNet,1
30,1.281817319104448,8.6640625,0.19140625,PermutationImportance,vit-b-16,ImageNet,1
31,1.282042589969933,8.6640625,0.19140625,PermutationImportance,vit-b-16,ImageNet,1
32,1.2805692490655929,8.6640625,0.19140625,PermutationImportance,vit-b-16,ImageNet,1
33,1.2810101888608187,8.6640625,0.19140625,PermutationImportance,vit-b-16,ImageNet,1
34,1.282191056990996,8.6640625,0.19140625,PermutationImportance,vit-b-16,ImageNet,1
35,1.2825801901053637,8.6640625,0.19140625,PermutationImportance,vit-b-16,ImageNet,1
36,1.2876499469857663,8.6640625,0.19140625,PermutationImportance,vit-b-16,ImageNet,1
37,1.2808691309764981,8.6640625,0.19140625,PermutationImportance,vit-b-16,ImageNet,1
