image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,8.742531415075064,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
1,8.754066541790962,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
2,8.755024276673794,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
3,8.786045763641596,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
4,8.764603771269321,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
5,8.766884244978428,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
6,8.771004062145948,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
7,8.786991108208895,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
8,8.775943607091904,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
9,8.77824828401208,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
10,8.781344030052423,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
11,8.779683079570532,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
12,8.767784845083952,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
13,8.77196416258812,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
14,8.781302355229855,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
15,8.775977313518524,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
16,8.776542574167252,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
17,8.77609783038497,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
18,8.779339734464884,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
19,8.774264976382256,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
20,8.779842503368855,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
21,8.782807864248753,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
22,8.771247748285532,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
23,8.781270995736122,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
24,8.794457580894232,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
25,8.794925790280104,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
26,8.79016187414527,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
27,8.77615150436759,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
28,8.776568807661533,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
29,8.781102012842894,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
30,8.787633761763573,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
31,8.782428167760372,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
32,8.782271109521389,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
33,8.77158584073186,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
34,8.797079529613256,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
35,8.795561257749796,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
36,8.796249493956566,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
37,8.787567917257547,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
38,8.776155218482018,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
39,8.792792536318302,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
40,8.777493264526129,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
41,8.791248969733715,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
42,8.78811639547348,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
43,8.784807194024324,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
44,8.793752696365118,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
45,8.791986230760813,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
46,8.780915547162294,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
47,8.782425858080387,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
48,8.783545672893524,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
49,8.797615271061659,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
50,8.77572837099433,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
51,8.786148767918348,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
52,8.780378341674805,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
53,8.78912102803588,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
54,8.787702962756157,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
55,8.78658939152956,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
56,8.806336753070354,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
57,8.792191542685032,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
58,8.796947199851274,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
59,8.801552761346102,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
60,8.769426461309195,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
61,8.788182713091373,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
62,8.782504890114069,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
63,8.78047613799572,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
64,8.783750806003809,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
65,8.800023794174194,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
66,8.789141315966845,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
67,8.780403010547161,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
68,8.78626960515976,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
69,8.779411744326353,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
70,8.783839177340269,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
71,8.783287324011326,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
72,8.787532202899456,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
73,8.789838504046202,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
74,8.811340812593699,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
75,8.822726350277662,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
76,8.81625672802329,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
77,8.798535991460085,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
78,8.817411251366138,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
79,8.789599891752005,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
80,8.778251122683287,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
81,8.778124839067459,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
82,8.797056198120117,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
83,8.803181383758783,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
84,8.790682144463062,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
85,8.788951210677624,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
86,8.783493604511023,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
87,8.780761927366257,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
88,8.783615302294493,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
89,8.788326360285282,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
90,8.81030773743987,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
91,8.806674744933844,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
92,8.802163109183311,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
93,8.791001342236996,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
94,8.79675329849124,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
95,8.797373428940773,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
96,8.78540264070034,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
97,8.801173850893974,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
98,8.787706635892391,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
99,8.82306643947959,8.6640625,0.19140625,PermutationImportance,vit-b-16,STL10,1
