image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,15.994623753009364,1630.78759765625,0.19140625,RISE,convnext-t,CIFAR10,1
1,15.953191929031163,1630.78759765625,0.19140625,RISE,convnext-t,CIFAR10,1
2,15.949636570876464,1630.78759765625,0.19140625,RISE,convnext-t,CIFAR10,1
3,15.919765110127628,1630.78759765625,0.19140625,RISE,convnext-t,CIFAR10,1
4,15.890186893986538,1630.78759765625,0.19140625,RISE,convnext-t,CIFAR10,1
5,15.91827388596721,1630.78759765625,0.19140625,RISE,convnext-t,CIFAR10,1
6,15.972470800159499,1630.78759765625,0.19140625,RISE,convnext-t,CIFAR10,1
7,15.905586845008656,1630.78759765625,0.19140625,RISE,convnext-t,CIFAR10,1
8,15.920065109152347,1630.78759765625,0.19140625,RISE,convnext-t,CIFAR10,1
9,15.929639104986563,1630.78759765625,0.19140625,RISE,convnext-t,CIFAR10,1
