image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,84.91146878898144,1532.78564453125,0.19140625,RISE,convnext-t,ImageNet,1
1,85.30615835636854,1532.78564453125,0.19140625,RISE,convnext-t,ImageNet,1
2,85.04448014497757,1532.78564453125,0.19140625,RISE,convnext-t,ImageNet,1
3,85.18896434083581,1532.78564453125,0.19140625,RISE,convnext-t,ImageNet,1
4,85.33314868807793,1532.78564453125,0.19140625,RISE,convnext-t,ImageNet,1
5,85.08659908547997,1532.78564453125,0.19140625,RISE,convnext-t,ImageNet,1
6,85.34156707674265,1532.78564453125,0.19140625,RISE,convnext-t,ImageNet,1
7,85.12033909186721,1532.78564453125,0.19140625,RISE,convnext-t,ImageNet,1
8,85.09964567422867,1532.78564453125,0.19140625,RISE,convnext-t,ImageNet,1
9,85.17086644843221,1532.78564453125,0.19140625,RISE,convnext-t,ImageNet,1
