image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,14.877974268980324,1630.78759765625,0.19140625,RISE,convnext-t,ImageNet,1
1,14.921024847077206,1630.78759765625,0.19140625,RISE,convnext-t,ImageNet,1
2,14.868719371967018,1630.78759765625,0.19140625,RISE,convnext-t,ImageNet,1
3,14.839225540868938,1630.78759765625,0.19140625,RISE,convnext-t,ImageNet,1
4,14.833590242778882,1630.78759765625,0.19140625,RISE,convnext-t,ImageNet,1
5,14.870734621072188,1630.78759765625,0.19140625,RISE,convnext-t,ImageNet,1
6,14.826678945915774,1630.78759765625,0.19140625,RISE,convnext-t,ImageNet,1
7,14.860112471040338,1630.78759765625,0.19140625,RISE,convnext-t,ImageNet,1
8,14.85420424491167,1630.78759765625,0.19140625,RISE,convnext-t,ImageNet,1
9,14.872466736938804,1630.78759765625,0.19140625,RISE,convnext-t,ImageNet,1
