image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,85.07768734544516,1532.78564453125,0.19140625,RISE,convnext-t,STL10,1
1,85.25749581307173,1532.78564453125,0.19140625,RISE,convnext-t,STL10,1
2,85.4071304872632,1532.78564453125,0.19140625,RISE,convnext-t,STL10,1
3,85.2442996352911,1532.78564453125,0.19140625,RISE,convnext-t,STL10,1
4,85.22110530361533,1532.78564453125,0.19140625,RISE,convnext-t,STL10,1
5,85.41536927223206,1532.78564453125,0.19140625,RISE,convnext-t,STL10,1
6,85.30817384272814,1532.78564453125,0.19140625,RISE,convnext-t,STL10,1
7,85.41247869282961,1532.78564453125,0.19140625,RISE,convnext-t,STL10,1
8,85.29379240050912,1532.78564453125,0.19140625,RISE,convnext-t,STL10,1
9,85.311871599406,1532.78564453125,0.19140625,RISE,convnext-t,STL10,1
