image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,64.83431548252702,1630.78759765625,0.19140625,RISE,convnext-t,STL10,1
1,69.5259507484734,1630.78759765625,0.19140625,RISE,convnext-t,STL10,1
2,67.16562754660845,1630.78759765625,0.19140625,RISE,convnext-t,STL10,1
3,70.75727330520749,1630.78759765625,0.19140625,RISE,convnext-t,STL10,1
4,66.06582133844495,1630.78759765625,0.19140625,RISE,convnext-t,STL10,1
5,67.10117220133543,1630.78759765625,0.19140625,RISE,convnext-t,STL10,1
6,66.06231202930212,1630.78759765625,0.19140625,RISE,convnext-t,STL10,1
7,67.16451429948211,1630.78759765625,0.19140625,RISE,convnext-t,STL10,1
8,65.94514061138034,1630.78759765625,0.19140625,RISE,convnext-t,STL10,1
9,66.86142707616091,1630.78759765625,0.19140625,RISE,convnext-t,STL10,1
