image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,15.621308390051126,1630.78759765625,0.19140625,RISE,convnext-t,STL10,1
1,15.189539178973064,1630.78759765625,0.19140625,RISE,convnext-t,STL10,1
2,15.198594013927504,1630.78759765625,0.19140625,RISE,convnext-t,STL10,1
3,15.193145086057484,1630.78759765625,0.19140625,RISE,convnext-t,STL10,1
4,15.15535546792671,1630.78759765625,0.19140625,RISE,convnext-t,STL10,1
5,15.190485822968185,1630.78759765625,0.19140625,RISE,convnext-t,STL10,1
6,15.199383488157764,1630.78759765625,0.19140625,RISE,convnext-t,STL10,1
7,15.163656989810988,1630.78759765625,0.19140625,RISE,convnext-t,STL10,1
8,15.207069133175537,1630.78759765625,0.19140625,RISE,convnext-t,STL10,1
9,15.172773245023564,1630.78759765625,0.19140625,RISE,convnext-t,STL10,1
