image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,60.65552656725049,1630.78759765625,0.19140625,RISE,densenet121,CIFAR10,1
1,59.428478732705116,1630.78759765625,0.19140625,RISE,densenet121,CIFAR10,1
2,61.88083215802908,1630.78759765625,0.19140625,RISE,densenet121,CIFAR10,1
3,62.92335540801287,1630.78759765625,0.19140625,RISE,densenet121,CIFAR10,1
4,58.8129671625793,1630.78759765625,0.19140625,RISE,densenet121,CIFAR10,1
5,59.480046544224024,1630.78759765625,0.19140625,RISE,densenet121,CIFAR10,1
6,59.05676827207208,1630.78759765625,0.19140625,RISE,densenet121,CIFAR10,1
7,60.865184899419546,1630.78759765625,0.19140625,RISE,densenet121,CIFAR10,1
8,59.68046085909009,1630.78759765625,0.19140625,RISE,densenet121,CIFAR10,1
9,61.95684699341655,1630.78759765625,0.19140625,RISE,densenet121,CIFAR10,1
