image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,42.187281247926876,1630.78759765625,0.19140625,RISE,densenet121,CIFAR10,1
1,42.18562958599068,1630.78759765625,0.19140625,RISE,densenet121,CIFAR10,1
2,42.05144775798544,1630.78759765625,0.19140625,RISE,densenet121,CIFAR10,1
3,42.17304137186147,1630.78759765625,0.19140625,RISE,densenet121,CIFAR10,1
4,42.00843416899443,1630.78759765625,0.19140625,RISE,densenet121,CIFAR10,1
5,42.0788487480022,1630.78759765625,0.19140625,RISE,densenet121,CIFAR10,1
6,42.027909419965,1630.78759765625,0.19140625,RISE,densenet121,CIFAR10,1
7,42.09394785808399,1630.78759765625,0.19140625,RISE,densenet121,CIFAR10,1
8,42.12161270901561,1630.78759765625,0.19140625,RISE,densenet121,CIFAR10,1
9,42.08745993603952,1630.78759765625,0.19140625,RISE,densenet121,CIFAR10,1
