image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,75.03501093760133,1630.78759765625,0.19140625,RISE,densenet121,ImageNet,1
1,80.55594859272242,1630.78759765625,0.19140625,RISE,densenet121,ImageNet,1
2,81.69798799604177,1630.78759765625,0.19140625,RISE,densenet121,ImageNet,1
3,89.6149716489017,1630.78759765625,0.19140625,RISE,densenet121,ImageNet,1
4,86.71930722892284,1630.78759765625,0.19140625,RISE,densenet121,ImageNet,1
5,91.4732322320342,1630.78759765625,0.19140625,RISE,densenet121,ImageNet,1
6,86.19433704018593,1630.78759765625,0.19140625,RISE,densenet121,ImageNet,1
7,86.23225488513708,1630.78759765625,0.19140625,RISE,densenet121,ImageNet,1
8,87.33088567480445,1630.78759765625,0.19140625,RISE,densenet121,ImageNet,1
9,76.43511631339788,1630.78759765625,0.19140625,RISE,densenet121,ImageNet,1
