image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,145.75618728995323,1532.78564453125,0.19140625,RISE,densenet121,STL10,1
1,147.2572088688612,1532.78564453125,0.19140625,RISE,densenet121,STL10,1
2,148.50735979527235,1532.78564453125,0.19140625,RISE,densenet121,STL10,1
3,147.79689072072506,1532.78564453125,0.19140625,RISE,densenet121,STL10,1
4,147.1886433623731,1532.78564453125,0.19140625,RISE,densenet121,STL10,1
5,147.42485284805298,1532.78564453125,0.19140625,RISE,densenet121,STL10,1
6,148.30108395591378,1532.78564453125,0.19140625,RISE,densenet121,STL10,1
7,146.83215538039804,1532.78564453125,0.19140625,RISE,densenet121,STL10,1
8,147.95433520153165,1532.78564453125,0.19140625,RISE,densenet121,STL10,1
9,148.75907988846302,1532.78564453125,0.19140625,RISE,densenet121,STL10,1
