image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,60.49950661510229,1630.78759765625,0.19140625,RISE,densenet121,STL10,1
1,60.77599882334471,1630.78759765625,0.19140625,RISE,densenet121,STL10,1
2,62.52193270623684,1630.78759765625,0.19140625,RISE,densenet121,STL10,1
3,62.4419659152627,1630.78759765625,0.19140625,RISE,densenet121,STL10,1
4,63.240438520908356,1630.78759765625,0.19140625,RISE,densenet121,STL10,1
5,63.03638568893075,1630.78759765625,0.19140625,RISE,densenet121,STL10,1
6,61.36916475370526,1630.78759765625,0.19140625,RISE,densenet121,STL10,1
7,60.92636511102319,1630.78759765625,0.19140625,RISE,densenet121,STL10,1
8,64.32838716357946,1630.78759765625,0.19140625,RISE,densenet121,STL10,1
9,68.52287052571774,1630.78759765625,0.19140625,RISE,densenet121,STL10,1
