image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,52.811416920274496,1532.78564453125,0.19140625,RISE,efficientnet-b0,ImageNet,1
1,51.6156801879406,1532.78564453125,0.19140625,RISE,efficientnet-b0,ImageNet,1
2,53.44301087781787,1532.78564453125,0.19140625,RISE,efficientnet-b0,ImageNet,1
3,51.806459337472916,1532.78564453125,0.19140625,RISE,efficientnet-b0,ImageNet,1
4,52.16667313501239,1532.78564453125,0.19140625,RISE,efficientnet-b0,ImageNet,1
5,51.779476545751095,1532.78564453125,0.19140625,RISE,efficientnet-b0,ImageNet,1
6,54.14995065331459,1532.78564453125,0.19140625,RISE,efficientnet-b0,ImageNet,1
7,54.250714994966984,1532.78564453125,0.19140625,RISE,efficientnet-b0,ImageNet,1
8,53.421287041157484,1532.78564453125,0.19140625,RISE,efficientnet-b0,ImageNet,1
9,53.85516990348697,1532.78564453125,0.19140625,RISE,efficientnet-b0,ImageNet,1
