image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,30.035909172147512,1630.78759765625,0.19140625,RISE,efficientnet-b0,ImageNet,1
1,29.884349387139082,1630.78759765625,0.19140625,RISE,efficientnet-b0,ImageNet,1
2,30.37814161926508,1630.78759765625,0.19140625,RISE,efficientnet-b0,ImageNet,1
3,29.95360527560115,1630.78759765625,0.19140625,RISE,efficientnet-b0,ImageNet,1
4,29.978461418300867,1630.78759765625,0.19140625,RISE,efficientnet-b0,ImageNet,1
5,30.507789231836796,1630.78759765625,0.19140625,RISE,efficientnet-b0,ImageNet,1
6,30.622112922370434,1630.78759765625,0.19140625,RISE,efficientnet-b0,ImageNet,1
7,30.65346335247159,1630.78759765625,0.19140625,RISE,efficientnet-b0,ImageNet,1
8,30.681378349661827,1630.78759765625,0.19140625,RISE,efficientnet-b0,ImageNet,1
9,30.49899996444583,1630.78759765625,0.19140625,RISE,efficientnet-b0,ImageNet,1
