image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,57.276705492287874,1532.78564453125,0.19140625,RISE,efficientnet-b0,STL10,1
1,62.779463816434145,1532.78564453125,0.19140625,RISE,efficientnet-b0,STL10,1
2,56.76714337617159,1532.78564453125,0.19140625,RISE,efficientnet-b0,STL10,1
3,53.75183640792966,1532.78564453125,0.19140625,RISE,efficientnet-b0,STL10,1
4,63.01892787963152,1532.78564453125,0.19140625,RISE,efficientnet-b0,STL10,1
5,58.05290278792381,1532.78564453125,0.19140625,RISE,efficientnet-b0,STL10,1
6,65.62571514770389,1532.78564453125,0.19140625,RISE,efficientnet-b0,STL10,1
7,53.14024616777897,1532.78564453125,0.19140625,RISE,efficientnet-b0,STL10,1
8,54.84441067650914,1532.78564453125,0.19140625,RISE,efficientnet-b0,STL10,1
9,53.163243636488914,1532.78564453125,0.19140625,RISE,efficientnet-b0,STL10,1
