image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,31.053744960576296,1630.78759765625,0.19140625,RISE,efficientnet-b0,STL10,1
1,31.67007775604725,1630.78759765625,0.19140625,RISE,efficientnet-b0,STL10,1
2,32.094488713890314,1630.78759765625,0.19140625,RISE,efficientnet-b0,STL10,1
3,31.03702447935939,1630.78759765625,0.19140625,RISE,efficientnet-b0,STL10,1
4,30.572309087961912,1630.78759765625,0.19140625,RISE,efficientnet-b0,STL10,1
5,31.407170239835978,1630.78759765625,0.19140625,RISE,efficientnet-b0,STL10,1
6,30.961949814110994,1630.78759765625,0.19140625,RISE,efficientnet-b0,STL10,1
7,30.151884388178587,1630.78759765625,0.19140625,RISE,efficientnet-b0,STL10,1
8,29.757589895278215,1630.78759765625,0.19140625,RISE,efficientnet-b0,STL10,1
9,29.9179859533906,1630.78759765625,0.19140625,RISE,efficientnet-b0,STL10,1
