image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,17.460411510895938,1630.78759765625,0.19140625,RISE,resnet50,CIFAR10,1
1,17.40090919402428,1630.78759765625,0.19140625,RISE,resnet50,CIFAR10,1
2,17.466579561121762,1630.78759765625,0.19140625,RISE,resnet50,CIFAR10,1
3,17.45082223485224,1630.78759765625,0.19140625,RISE,resnet50,CIFAR10,1
4,17.433930460829288,1630.78759765625,0.19140625,RISE,resnet50,CIFAR10,1
5,17.40741549897939,1630.78759765625,0.19140625,RISE,resnet50,CIFAR10,1
6,17.423381690168753,1630.78759765625,0.19140625,RISE,resnet50,CIFAR10,1
7,17.428147421916947,1630.78759765625,0.19140625,RISE,resnet50,CIFAR10,1
8,17.385844193166122,1630.78759765625,0.19140625,RISE,resnet50,CIFAR10,1
9,17.37809763289988,1630.78759765625,0.19140625,RISE,resnet50,CIFAR10,1
