image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,21.488640673458576,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,2
1,21.481541726738214,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,2
2,21.6002040207386,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,2
3,21.49260751903057,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,2
4,25.618764013051987,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,2
5,41.49442683532834,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,2
6,51.7149586006999,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,2
7,62.002929013222456,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,2
8,63.136293295770884,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,2
9,72.37034628912807,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,2
