image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,16.32850209600292,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
1,16.461575768887997,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
2,16.913628736976534,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
3,17.18323058495298,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
4,17.185376588022336,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
5,17.163912005955353,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
6,17.26056154211983,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
7,17.145196743076667,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
8,17.19457680499181,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
9,17.170368660008535,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
10,17.206083870958537,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
11,17.14371412107721,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
12,17.161576637998223,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
13,17.260755541035905,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
14,17.17518798611127,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
15,17.168443642091006,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
16,17.182114467024803,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
17,17.22760098800063,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
18,17.17663942510262,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
19,17.138198331929743,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
20,17.271714626112953,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
21,17.148224289063364,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
22,17.13695743889548,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
23,17.18178242794238,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
24,17.21405654004775,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
25,17.15712312515825,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
26,17.205088298069313,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
27,17.2845575788524,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
28,17.18268627091311,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
29,17.16869180602953,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
30,17.179580945987254,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
31,17.191794832004234,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
32,17.17899446398951,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
33,17.181763214059174,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
34,17.277103340951726,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
35,17.147750096861273,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
36,17.178760785842314,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
37,17.239084309898317,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
38,17.191997116897255,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
39,17.171157794073224,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
40,17.166942921001464,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
41,17.273396817035973,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
42,17.155278095044196,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
43,17.16984101687558,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
44,17.241492819972336,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
45,17.124247836880386,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
46,17.153957111993805,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
47,17.23208359698765,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
48,17.25560106500052,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
49,17.17614425299689,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
50,17.137392137898132,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
51,17.24947991897352,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
52,17.175798588898033,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
53,17.200654856860638,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
54,17.15274799708277,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
55,17.281045367009938,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
56,17.170354678994045,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
57,17.190427516121417,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
58,17.254626239882782,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
59,17.17550673498772,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
60,17.194511167006567,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
61,17.180443817051128,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
62,17.244852274889126,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
63,17.175883549964055,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
64,17.17981267394498,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
65,17.23811831488274,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
66,17.17715778411366,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
67,17.178664295002818,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
68,17.18661664496176,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
69,17.28735256101936,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
70,17.186897999141365,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
71,17.181710257893428,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
72,17.19651819090359,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
73,17.201236097840592,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
74,17.210162920178846,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
75,17.145715740974993,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
76,17.29168602800928,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
77,17.156833096873015,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
78,17.177261215867475,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
79,17.23377881385386,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
80,17.177210115129128,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
81,17.18889269302599,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
82,17.182695894967765,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
83,17.26534960605204,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
84,17.206855888012797,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
85,17.20350246084854,1630.78759765625,0.19140625,RISE,resnet50,ImageNet,1
