image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,75.11136651039124,1532.78564453125,0.19140625,RISE,resnet50,STL10,1
1,75.19357373937964,1532.78564453125,0.19140625,RISE,resnet50,STL10,1
2,75.35117599368095,1532.78564453125,0.19140625,RISE,resnet50,STL10,1
3,75.3008130080998,1532.78564453125,0.19140625,RISE,resnet50,STL10,1
4,75.39307779818773,1532.78564453125,0.19140625,RISE,resnet50,STL10,1
5,75.267304148525,1532.78564453125,0.19140625,RISE,resnet50,STL10,1
6,75.42158920690417,1532.78564453125,0.19140625,RISE,resnet50,STL10,1
7,75.54314948618412,1532.78564453125,0.19140625,RISE,resnet50,STL10,1
8,75.31839260831475,1532.78564453125,0.19140625,RISE,resnet50,STL10,1
9,75.37198339775205,1532.78564453125,0.19140625,RISE,resnet50,STL10,1
