image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,53.277893237769604,1630.78759765625,0.19140625,RISE,resnet50,STL10,1
1,50.16962254419923,1630.78759765625,0.19140625,RISE,resnet50,STL10,1
2,51.18265663459897,1630.78759765625,0.19140625,RISE,resnet50,STL10,1
3,54.00318790972233,1630.78759765625,0.19140625,RISE,resnet50,STL10,1
4,57.33351529017091,1630.78759765625,0.19140625,RISE,resnet50,STL10,1
5,52.28133682906628,1630.78759765625,0.19140625,RISE,resnet50,STL10,1
6,56.09593224897981,1630.78759765625,0.19140625,RISE,resnet50,STL10,1
7,56.3029726408422,1630.78759765625,0.19140625,RISE,resnet50,STL10,1
8,57.47443097829819,1630.78759765625,0.19140625,RISE,resnet50,STL10,1
9,52.86397413164377,1630.78759765625,0.19140625,RISE,resnet50,STL10,1
