image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,136.67060520127416,1630.78759765625,0.19140625,RISE,vit-b-16,CIFAR10,1
1,192.36928060278296,1630.78759765625,0.19140625,RISE,vit-b-16,CIFAR10,1
2,192.52793522551656,1630.78759765625,0.19140625,RISE,vit-b-16,CIFAR10,1
3,195.16953931748867,1630.78759765625,0.19140625,RISE,vit-b-16,CIFAR10,1
4,204.5464983023703,1630.78759765625,0.19140625,RISE,vit-b-16,CIFAR10,1
5,208.14678793773055,1630.78759765625,0.19140625,RISE,vit-b-16,CIFAR10,1
6,205.37649666517973,1630.78759765625,0.19140625,RISE,vit-b-16,CIFAR10,1
7,206.57631093263626,1630.78759765625,0.19140625,RISE,vit-b-16,CIFAR10,1
8,206.5825935304165,1630.78759765625,0.19140625,RISE,vit-b-16,CIFAR10,1
9,203.13452159240842,1630.78759765625,0.19140625,RISE,vit-b-16,CIFAR10,1
