image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,25.75614352687262,1630.78759765625,0.19140625,RISE,vit-b-16,CIFAR10,1
1,25.77429494797252,1630.78759765625,0.19140625,RISE,vit-b-16,CIFAR10,1
2,25.783319018082693,1630.78759765625,0.19140625,RISE,vit-b-16,CIFAR10,1
3,25.796958839986473,1630.78759765625,0.19140625,RISE,vit-b-16,CIFAR10,1
4,25.794562749098986,1630.78759765625,0.19140625,RISE,vit-b-16,CIFAR10,1
5,25.816218049032614,1630.78759765625,0.19140625,RISE,vit-b-16,CIFAR10,1
6,25.799729943973944,1630.78759765625,0.19140625,RISE,vit-b-16,CIFAR10,1
7,25.81818214082159,1630.78759765625,0.19140625,RISE,vit-b-16,CIFAR10,1
8,25.81348289991729,1630.78759765625,0.19140625,RISE,vit-b-16,CIFAR10,1
9,25.903748512035236,1630.78759765625,0.19140625,RISE,vit-b-16,CIFAR10,1
