image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,166.60709803923965,1532.78564453125,0.19140625,RISE,vit-b-16,ImageNet,1
1,166.98271944001317,1532.78564453125,0.19140625,RISE,vit-b-16,ImageNet,1
2,166.87904831022024,1532.78564453125,0.19140625,RISE,vit-b-16,ImageNet,1
3,166.95266418904066,1532.78564453125,0.19140625,RISE,vit-b-16,ImageNet,1
4,166.89917104691267,1532.78564453125,0.19140625,RISE,vit-b-16,ImageNet,1
5,167.0252524316311,1532.78564453125,0.19140625,RISE,vit-b-16,ImageNet,1
6,167.03167169168591,1532.78564453125,0.19140625,RISE,vit-b-16,ImageNet,1
7,166.9786939918995,1532.78564453125,0.19140625,RISE,vit-b-16,ImageNet,1
8,167.00799411162734,1532.78564453125,0.19140625,RISE,vit-b-16,ImageNet,1
9,166.9523940756917,1532.78564453125,0.19140625,RISE,vit-b-16,ImageNet,1
