image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,25.690583195071667,1630.78759765625,0.19140625,RISE,vit-b-16,STL10,1
1,25.751306790160015,1630.78759765625,0.19140625,RISE,vit-b-16,STL10,1
2,25.76075344509445,1630.78759765625,0.19140625,RISE,vit-b-16,STL10,1
3,25.777721036225557,1630.78759765625,0.19140625,RISE,vit-b-16,STL10,1
4,25.80483208107762,1630.78759765625,0.19140625,RISE,vit-b-16,STL10,1
5,25.81667939084582,1630.78759765625,0.19140625,RISE,vit-b-16,STL10,1
6,25.8204875679221,1630.78759765625,0.19140625,RISE,vit-b-16,STL10,1
7,25.833831534953788,1630.78759765625,0.19140625,RISE,vit-b-16,STL10,1
8,25.83739385707304,1630.78759765625,0.19140625,RISE,vit-b-16,STL10,1
9,25.844400202156976,1630.78759765625,0.19140625,RISE,vit-b-16,STL10,1
