image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.24083109945058823,117.5107421875,0.57421875,Saliency,convnext-t,CIFAR10,1
1,0.18986381217837334,117.5107421875,0.57421875,Saliency,convnext-t,CIFAR10,1
2,0.18816768005490303,117.5107421875,0.57421875,Saliency,convnext-t,CIFAR10,1
3,0.1912560537457466,117.5107421875,0.57421875,Saliency,convnext-t,CIFAR10,1
4,0.19170749932527542,117.5107421875,0.57421875,Saliency,convnext-t,CIFAR10,1
5,0.18524673953652382,117.5107421875,0.57421875,Saliency,convnext-t,CIFAR10,1
6,0.19128728285431862,117.5107421875,0.57421875,Saliency,convnext-t,CIFAR10,1
7,0.18741533532738686,117.5107421875,0.57421875,Saliency,convnext-t,CIFAR10,1
8,0.1892707794904709,117.5107421875,0.57421875,Saliency,convnext-t,CIFAR10,1
9,0.18971600756049156,117.5107421875,0.57421875,Saliency,convnext-t,CIFAR10,1
10,0.18684682995080948,117.5107421875,0.57421875,Saliency,convnext-t,CIFAR10,1
11,0.1889321245253086,117.5107421875,0.57421875,Saliency,convnext-t,CIFAR10,1
12,0.188164621591568,117.5107421875,0.57421875,Saliency,convnext-t,CIFAR10,1
13,0.18951809406280518,117.5107421875,0.57421875,Saliency,convnext-t,CIFAR10,1
14,0.18454859405755997,117.5107421875,0.57421875,Saliency,convnext-t,CIFAR10,1
15,0.18888716027140617,117.5107421875,0.57421875,Saliency,convnext-t,CIFAR10,1
16,0.1758147031068802,117.5107421875,0.57421875,Saliency,convnext-t,CIFAR10,1
17,0.18925460427999496,117.5107421875,0.57421875,Saliency,convnext-t,CIFAR10,1
18,0.1889568492770195,117.5107421875,0.57421875,Saliency,convnext-t,CIFAR10,1
19,0.18649286031723022,117.5107421875,0.57421875,Saliency,convnext-t,CIFAR10,1
20,0.19346487894654274,117.5107421875,0.57421875,Saliency,convnext-t,CIFAR10,1
21,0.1890888288617134,117.5107421875,0.57421875,Saliency,convnext-t,CIFAR10,1
22,0.18915174528956413,117.5107421875,0.57421875,Saliency,convnext-t,CIFAR10,1
23,0.1860092245042324,117.5107421875,0.57421875,Saliency,convnext-t,CIFAR10,1
24,0.18499889969825745,117.5107421875,0.57421875,Saliency,convnext-t,CIFAR10,1
