image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.13426349312067032,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
1,0.10616260021924973,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
2,0.10517972335219383,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
3,0.09364315867424011,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
4,0.09898751974105835,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
5,0.11039063706994057,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
6,0.09784599393606186,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
7,0.09466569498181343,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
8,0.10041361674666405,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
9,0.10390139743685722,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
10,0.09158584848046303,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
11,0.1016206294298172,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
12,0.09368342533707619,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
13,0.09400380030274391,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
14,0.10421788319945335,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
15,0.09059568494558334,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
16,0.09197460487484932,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
17,0.09850036725401878,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
18,0.09263543039560318,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
19,0.08855083212256432,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
20,0.11015794798731804,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
21,0.09963636845350266,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
22,0.10198788717389107,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
23,0.09280537813901901,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
24,0.09835636243224144,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
25,0.09816839173436165,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
26,0.1047203354537487,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
27,0.09239203482866287,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
28,0.09108040109276772,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
29,0.10008617490530014,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
30,0.09863115847110748,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
31,0.10566810518503189,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
32,0.10156014934182167,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
33,0.10076463967561722,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
34,0.09869538620114326,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
35,0.10359551757574081,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
36,0.09853745996952057,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
37,0.09464661031961441,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
38,0.09226223453879356,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
39,0.103443693369627,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
40,0.10078674927353859,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
41,0.09827883169054985,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
42,0.10081393644213676,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
43,0.10141181945800781,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
44,0.10194464400410652,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
45,0.0928303450345993,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
46,0.10356422513723373,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
47,0.09734661132097244,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
48,0.09475525468587875,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
49,0.10583429038524628,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
50,0.09644418209791183,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
51,0.09976133331656456,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
52,0.10968504846096039,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
53,0.09220200777053833,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
54,0.11313987895846367,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
55,0.1088273674249649,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
56,0.1046985425055027,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
57,0.09290318191051483,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
58,0.09829295054078102,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
59,0.09869203343987465,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
60,0.09358583763241768,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
61,0.09909062460064888,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
62,0.09527141973376274,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
63,0.0936758853495121,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
64,0.09201062843203545,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
65,0.11418278142809868,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
66,0.1058301217854023,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
67,0.0912206582725048,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
68,0.10645433887839317,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
69,0.09245116263628006,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
70,0.09252173081040382,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
71,0.09175706654787064,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
72,0.09824617207050323,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
73,0.11270824819803238,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
74,0.12483853846788406,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
75,0.11906252428889275,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
76,0.11896232888102531,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
77,0.11767363548278809,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
78,0.1201179139316082,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
79,0.12421313300728798,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
80,0.1248578429222107,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
81,0.1117238700389862,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
82,0.11915742978453636,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
83,0.12296612933278084,116.0107421875,0.57421875,Saliency,convnext-t,ImageNet,1
