image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.09521037340164185,113.9326171875,0.57421875,Saliency,convnext-t,STL10,1
1,0.0949849970638752,113.9326171875,0.57421875,Saliency,convnext-t,STL10,1
2,0.0896776095032692,113.9326171875,0.57421875,Saliency,convnext-t,STL10,1
3,0.09041374549269676,113.9326171875,0.57421875,Saliency,convnext-t,STL10,1
4,0.10010172054171562,113.9326171875,0.57421875,Saliency,convnext-t,STL10,1
5,0.0970965251326561,113.9326171875,0.57421875,Saliency,convnext-t,STL10,1
6,0.10145262256264687,113.9326171875,0.57421875,Saliency,convnext-t,STL10,1
7,0.10381805896759033,113.9326171875,0.57421875,Saliency,convnext-t,STL10,1
8,0.1087251678109169,113.9326171875,0.57421875,Saliency,convnext-t,STL10,1
9,0.10217047110199928,113.9326171875,0.57421875,Saliency,convnext-t,STL10,1
10,0.09527311101555824,113.9326171875,0.57421875,Saliency,convnext-t,STL10,1
11,0.0991627462208271,113.9326171875,0.57421875,Saliency,convnext-t,STL10,1
12,0.10945333167910576,113.9326171875,0.57421875,Saliency,convnext-t,STL10,1
13,0.09316636249423027,113.9326171875,0.57421875,Saliency,convnext-t,STL10,1
14,0.1055501401424408,113.9326171875,0.57421875,Saliency,convnext-t,STL10,1
15,0.09686937555670738,113.9326171875,0.57421875,Saliency,convnext-t,STL10,1
16,0.10164842009544373,113.9326171875,0.57421875,Saliency,convnext-t,STL10,1
17,0.10184719413518906,113.9326171875,0.57421875,Saliency,convnext-t,STL10,1
18,0.09478861093521118,113.9326171875,0.57421875,Saliency,convnext-t,STL10,1
19,0.09371369332075119,113.9326171875,0.57421875,Saliency,convnext-t,STL10,1
20,0.10004911199212074,113.9326171875,0.57421875,Saliency,convnext-t,STL10,1
21,0.09477920457720757,113.9326171875,0.57421875,Saliency,convnext-t,STL10,1
22,0.09951742365956306,113.9326171875,0.57421875,Saliency,convnext-t,STL10,1
23,0.09654398635029793,113.9326171875,0.57421875,Saliency,convnext-t,STL10,1
24,0.09872810170054436,113.9326171875,0.57421875,Saliency,convnext-t,STL10,1
25,0.10311220586299896,113.9326171875,0.57421875,Saliency,convnext-t,STL10,1
26,0.09780648723244667,113.9326171875,0.57421875,Saliency,convnext-t,STL10,1
27,0.09084935858845711,113.9326171875,0.57421875,Saliency,convnext-t,STL10,1
28,0.09151666983962059,113.9326171875,0.57421875,Saliency,convnext-t,STL10,1
29,0.09623608365654945,113.9326171875,0.57421875,Saliency,convnext-t,STL10,1
30,0.0912654660642147,113.9326171875,0.57421875,Saliency,convnext-t,STL10,1
31,0.09963959082961082,113.9326171875,0.57421875,Saliency,convnext-t,STL10,1
32,0.09238541126251221,113.9326171875,0.57421875,Saliency,convnext-t,STL10,1
33,0.09081554412841797,113.9326171875,0.57421875,Saliency,convnext-t,STL10,1
34,0.10089898481965065,113.9326171875,0.57421875,Saliency,convnext-t,STL10,1
35,0.09853265061974525,113.9326171875,0.57421875,Saliency,convnext-t,STL10,1
36,0.09183577820658684,113.9326171875,0.57421875,Saliency,convnext-t,STL10,1
37,0.10245925933122635,113.9326171875,0.57421875,Saliency,convnext-t,STL10,1
38,0.10053762048482895,113.9326171875,0.57421875,Saliency,convnext-t,STL10,1
39,0.09892910718917847,113.9326171875,0.57421875,Saliency,convnext-t,STL10,1
40,0.09630563855171204,113.9326171875,0.57421875,Saliency,convnext-t,STL10,1
