image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.009724377188831568,112.7841796875,0.57421875,Saliency,convnext-t,STL10,1
1,0.010488197905942798,112.7841796875,0.57421875,Saliency,convnext-t,STL10,1
2,0.010882119182497263,112.7841796875,0.57421875,Saliency,convnext-t,STL10,1
3,0.010364673798903823,112.7841796875,0.57421875,Saliency,convnext-t,STL10,1
4,0.011190928053110838,112.7841796875,0.57421875,Saliency,convnext-t,STL10,1
5,0.011024102102965117,112.7841796875,0.57421875,Saliency,convnext-t,STL10,1
6,0.01080260705202818,112.7841796875,0.57421875,Saliency,convnext-t,STL10,1
7,0.011007192078977823,112.7841796875,0.57421875,Saliency,convnext-t,STL10,1
8,0.010498085990548134,112.7841796875,0.57421875,Saliency,convnext-t,STL10,1
9,0.011206820141524076,112.7841796875,0.57421875,Saliency,convnext-t,STL10,1
10,0.010665549896657467,112.7841796875,0.57421875,Saliency,convnext-t,STL10,1
11,0.010362950852140784,112.7841796875,0.57421875,Saliency,convnext-t,STL10,1
12,0.010866224998608232,112.7841796875,0.57421875,Saliency,convnext-t,STL10,1
13,0.010421223007142544,112.7841796875,0.57421875,Saliency,convnext-t,STL10,1
14,0.01023660390637815,112.7841796875,0.57421875,Saliency,convnext-t,STL10,1
15,0.010317521868273616,112.7841796875,0.57421875,Saliency,convnext-t,STL10,1
16,0.01034902990795672,112.7841796875,0.57421875,Saliency,convnext-t,STL10,1
17,0.010655345860868692,112.7841796875,0.57421875,Saliency,convnext-t,STL10,1
18,0.01029323716647923,112.7841796875,0.57421875,Saliency,convnext-t,STL10,1
19,0.010237046983093023,112.7841796875,0.57421875,Saliency,convnext-t,STL10,1
20,0.010259539820253849,112.7841796875,0.57421875,Saliency,convnext-t,STL10,1
21,0.010213958099484444,112.7841796875,0.57421875,Saliency,convnext-t,STL10,1
22,0.01024493295699358,112.7841796875,0.57421875,Saliency,convnext-t,STL10,1
23,0.010226855054497719,112.7841796875,0.57421875,Saliency,convnext-t,STL10,1
24,0.010272097075358033,112.7841796875,0.57421875,Saliency,convnext-t,STL10,1
25,0.010293875122442842,112.7841796875,0.57421875,Saliency,convnext-t,STL10,1
26,0.010211673099547625,112.7841796875,0.57421875,Saliency,convnext-t,STL10,1
27,0.010329869110137224,112.7841796875,0.57421875,Saliency,convnext-t,STL10,1
28,0.010384408989921212,112.7841796875,0.57421875,Saliency,convnext-t,STL10,1
29,0.010128577006980777,112.7841796875,0.57421875,Saliency,convnext-t,STL10,1
30,0.010190189117565751,112.7841796875,0.57421875,Saliency,convnext-t,STL10,1
31,0.010311203077435493,112.7841796875,0.57421875,Saliency,convnext-t,STL10,1
32,0.010470189154148102,112.7841796875,0.57421875,Saliency,convnext-t,STL10,1
33,0.01019825297407806,112.7841796875,0.57421875,Saliency,convnext-t,STL10,1
34,0.010151589987799525,112.7841796875,0.57421875,Saliency,convnext-t,STL10,1
35,0.01012781192548573,112.7841796875,0.57421875,Saliency,convnext-t,STL10,1
36,0.010364572051912546,112.7841796875,0.57421875,Saliency,convnext-t,STL10,1
37,0.010361128952354193,112.7841796875,0.57421875,Saliency,convnext-t,STL10,1
38,0.0102206040173769,112.7841796875,0.57421875,Saliency,convnext-t,STL10,1
39,0.010312870843335986,112.7841796875,0.57421875,Saliency,convnext-t,STL10,1
40,0.010198097908869386,112.7841796875,0.57421875,Saliency,convnext-t,STL10,1
41,0.010145836044102907,112.7841796875,0.57421875,Saliency,convnext-t,STL10,1
42,0.01018114690668881,112.7841796875,0.57421875,Saliency,convnext-t,STL10,1
43,0.01033979095518589,112.7841796875,0.57421875,Saliency,convnext-t,STL10,1
44,0.010489362059161067,112.7841796875,0.57421875,Saliency,convnext-t,STL10,1
45,0.010278592118993402,112.7841796875,0.57421875,Saliency,convnext-t,STL10,1
46,0.010194130009040236,112.7841796875,0.57421875,Saliency,convnext-t,STL10,1
47,0.010173273971304297,112.7841796875,0.57421875,Saliency,convnext-t,STL10,1
48,0.010219838935881853,112.7841796875,0.57421875,Saliency,convnext-t,STL10,1
49,0.010246400954201818,112.7841796875,0.57421875,Saliency,convnext-t,STL10,1
50,0.010934245074167848,112.7841796875,0.57421875,Saliency,convnext-t,STL10,1
