image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.0865890346467495,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
1,0.08392992615699768,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
2,0.08205064386129379,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
3,0.08633251115679741,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
4,0.12313976883888245,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
5,0.09741939604282379,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
6,0.09148421138525009,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
7,0.1015787422657013,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
8,0.13240719586610794,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
9,0.11290683224797249,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
10,0.11958971247076988,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
11,0.09161018207669258,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
12,0.10352136194705963,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
13,0.10917365923523903,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
14,0.09166121855378151,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
15,0.10763579979538918,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
16,0.09541255235671997,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
17,0.08775729686021805,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
18,0.10830357670783997,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
19,0.09175047650933266,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
20,0.09210460260510445,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
21,0.09688659757375717,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
22,0.11109331250190735,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
23,0.10397855937480927,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
24,0.09414888545870781,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
25,0.09457847476005554,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
26,0.13519946113228798,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
27,0.08711465075612068,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
28,0.09851326420903206,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
29,0.11930925771594048,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
30,0.09770630672574043,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
31,0.08861617743968964,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
32,0.09177162498235703,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
33,0.11815346777439117,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
34,0.09120496734976768,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
35,0.09836769476532936,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
36,0.10106153786182404,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
37,0.11375672370195389,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
38,0.13064583018422127,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
39,0.12039683014154434,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
40,0.1176200695335865,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
41,0.10500478744506836,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
42,0.12445226311683655,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
43,0.09712045267224312,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
44,0.14563480764627457,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
45,0.10427340865135193,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
46,0.1365114524960518,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
47,0.09224677830934525,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
48,0.09875795990228653,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
49,0.08788620308041573,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
50,0.11747552081942558,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
51,0.12297824770212173,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
52,0.1242733746767044,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
53,0.11960871145129204,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
54,0.12613272666931152,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
55,0.13437377661466599,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
56,0.10873464122414589,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
57,0.13380630314350128,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
58,0.09550952166318893,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
59,0.11129946261644363,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
60,0.12152354419231415,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
61,0.10488995537161827,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
62,0.13575419038534164,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
63,0.12127606943249702,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
64,0.12172103300690651,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
65,0.1259392872452736,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
66,0.09495420753955841,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
67,0.088885847479105,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
68,0.10735214129090309,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
69,0.1391066014766693,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
70,0.09173060581088066,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
71,0.11026275157928467,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
72,0.09925289452075958,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
73,0.09596310555934906,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
74,0.10219810158014297,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
75,0.13751517981290817,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
76,0.09572182595729828,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
77,0.11075560376048088,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
78,0.09069613739848137,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
79,0.0869043618440628,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
80,0.08958321809768677,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
81,0.0924801230430603,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
82,0.10920532792806625,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
83,0.10512248054146767,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
84,0.09317213669419289,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
85,0.0944051630795002,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
86,0.11394841596484184,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
87,0.08760066702961922,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
88,0.08588197082281113,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
89,0.08858001977205276,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
90,0.12250924482941628,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
91,0.11989137157797813,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
92,0.10972743853926659,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
93,0.10732739791274071,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
94,0.09306309372186661,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
95,0.10244473442435265,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
96,0.14276668056845665,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
97,0.10337210819125175,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
98,0.11375665292143822,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
99,0.08744703233242035,129.21875,0.57421875,Saliency,densenet121,CIFAR10,1
