image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.07140720263123512,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
1,0.06810394302010536,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
2,0.07210756465792656,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
3,0.07037419080734253,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
4,0.06675228103995323,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
5,0.07436876744031906,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
6,0.06525581330060959,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
7,0.06571762636303902,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
8,0.0682838037610054,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
9,0.06877803057432175,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
10,0.06795844808220863,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
11,0.07223522290587425,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
12,0.06547790393233299,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
13,0.06609178334474564,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
14,0.07013444602489471,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
15,0.06300723552703857,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
16,0.06568184122443199,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
17,0.06967782974243164,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
18,0.07704847306013107,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
19,0.0682416781783104,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
20,0.06547947973012924,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
21,0.06106511503458023,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
22,0.07239769026637077,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
23,0.06883381679654121,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
24,0.06540323793888092,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
25,0.06386158242821693,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
26,0.0647624135017395,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
27,0.06044936925172806,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
28,0.06608670204877853,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
29,0.06627809628844261,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
30,0.0654682107269764,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
31,0.06738100573420525,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
32,0.06518110260367393,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
33,0.06457999348640442,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
34,0.0713566429913044,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
35,0.06284476071596146,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
36,0.06546299159526825,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
37,0.06685807183384895,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
38,0.06992638111114502,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
39,0.06579369306564331,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
40,0.06847408041357994,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
41,0.07425347715616226,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
42,0.07062387466430664,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
43,0.06335140764713287,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
44,0.06620443239808083,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
45,0.06787153705954552,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
46,0.07665961608290672,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
47,0.06741676479578018,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
48,0.06690266728401184,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
49,0.0654517151415348,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
50,0.06773078814148903,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
51,0.07679368183016777,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
52,0.06348267942667007,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
53,0.07198730483651161,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
54,0.06494663655757904,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
55,0.07450681179761887,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
56,0.06429287046194077,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
57,0.0742761418223381,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
58,0.06624041125178337,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
59,0.06590228155255318,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
60,0.06428683176636696,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
61,0.06656740233302116,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
62,0.07105729356408119,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
63,0.07552717626094818,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
64,0.06553741544485092,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
65,0.06757885590195656,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
66,0.06366349384188652,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
67,0.06239080801606178,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
68,0.06786790490150452,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
69,0.08129944279789925,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
70,0.06441933289170265,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
71,0.06752056628465652,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
72,0.06615285575389862,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
73,0.0672745555639267,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
74,0.0705738253891468,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
75,0.06618715822696686,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
76,0.06724715605378151,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
77,0.0668017640709877,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
78,0.06632380932569504,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
79,0.06793320551514626,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
80,0.0677514337003231,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
81,0.06774694472551346,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
82,0.07161319255828857,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
83,0.06608801707625389,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
84,0.06735626235604286,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
85,0.06685902550816536,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
86,0.06659448146820068,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
87,0.06794136017560959,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
88,0.06807102262973785,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
89,0.07376495748758316,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
90,0.06995033472776413,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
91,0.06609265506267548,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
92,0.06690264120697975,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
93,0.07671104371547699,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
94,0.06916244700551033,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
95,0.07373359799385071,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
96,0.06952772662043571,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
97,0.06243235245347023,128.0625,0.57421875,Saliency,densenet121,CIFAR10,1
