image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.030060300137847662,252.208984375,0.57421875,Saliency,densenet121,CIFAR10,1
1,0.031486510997638106,252.208984375,0.57421875,Saliency,densenet121,CIFAR10,1
2,0.031004740856587887,252.208984375,0.57421875,Saliency,densenet121,CIFAR10,1
3,0.031307876808568835,252.208984375,0.57421875,Saliency,densenet121,CIFAR10,1
4,0.032165221171453595,252.208984375,0.57421875,Saliency,densenet121,CIFAR10,1
5,0.03215606510639191,252.208984375,0.57421875,Saliency,densenet121,CIFAR10,1
6,0.03132200497202575,252.208984375,0.57421875,Saliency,densenet121,CIFAR10,1
7,0.031205748906359076,252.208984375,0.57421875,Saliency,densenet121,CIFAR10,1
8,0.03213984100148082,252.208984375,0.57421875,Saliency,densenet121,CIFAR10,1
9,0.03136789286509156,252.208984375,0.57421875,Saliency,densenet121,CIFAR10,1
10,0.031554369954392314,252.208984375,0.57421875,Saliency,densenet121,CIFAR10,1
11,0.03171351389028132,252.208984375,0.57421875,Saliency,densenet121,CIFAR10,1
12,0.031203279038891196,252.208984375,0.57421875,Saliency,densenet121,CIFAR10,1
13,0.031169977970421314,252.208984375,0.57421875,Saliency,densenet121,CIFAR10,1
14,0.03121113684028387,252.208984375,0.57421875,Saliency,densenet121,CIFAR10,1
15,0.03121085907332599,252.208984375,0.57421875,Saliency,densenet121,CIFAR10,1
16,0.03187468112446368,252.208984375,0.57421875,Saliency,densenet121,CIFAR10,1
17,0.03147364407777786,252.208984375,0.57421875,Saliency,densenet121,CIFAR10,1
18,0.03157328790985048,252.208984375,0.57421875,Saliency,densenet121,CIFAR10,1
19,0.03130713617429137,252.208984375,0.57421875,Saliency,densenet121,CIFAR10,1
20,0.03144685202278197,252.208984375,0.57421875,Saliency,densenet121,CIFAR10,1
21,0.03148740786127746,252.208984375,0.57421875,Saliency,densenet121,CIFAR10,1
22,0.03129836684092879,252.208984375,0.57421875,Saliency,densenet121,CIFAR10,1
23,0.031176883028820157,252.208984375,0.57421875,Saliency,densenet121,CIFAR10,1
24,0.03252569795586169,252.208984375,0.57421875,Saliency,densenet121,CIFAR10,1
