image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.08549733459949493,129.44921875,0.57421875,Saliency,densenet121,ImageNet,1
1,0.11292991042137146,129.44921875,0.57421875,Saliency,densenet121,ImageNet,1
2,0.08689044415950775,129.44921875,0.57421875,Saliency,densenet121,ImageNet,1
3,0.08556349575519562,129.44921875,0.57421875,Saliency,densenet121,ImageNet,1
4,0.08510594442486763,129.44921875,0.57421875,Saliency,densenet121,ImageNet,1
5,0.10169132053852081,129.44921875,0.57421875,Saliency,densenet121,ImageNet,1
6,0.08526450395584106,129.44921875,0.57421875,Saliency,densenet121,ImageNet,1
7,0.11079811677336693,129.44921875,0.57421875,Saliency,densenet121,ImageNet,1
8,0.09881377592682838,129.44921875,0.57421875,Saliency,densenet121,ImageNet,1
9,0.09398091584444046,129.44921875,0.57421875,Saliency,densenet121,ImageNet,1
10,0.10193948075175285,129.44921875,0.57421875,Saliency,densenet121,ImageNet,1
11,0.11529296264052391,129.44921875,0.57421875,Saliency,densenet121,ImageNet,1
12,0.09152775630354881,129.44921875,0.57421875,Saliency,densenet121,ImageNet,1
13,0.08794861286878586,129.44921875,0.57421875,Saliency,densenet121,ImageNet,1
14,0.09893731400370598,129.44921875,0.57421875,Saliency,densenet121,ImageNet,1
15,0.11417696252465248,129.44921875,0.57421875,Saliency,densenet121,ImageNet,1
16,0.1002727709710598,129.44921875,0.57421875,Saliency,densenet121,ImageNet,1
17,0.10845925658941269,129.44921875,0.57421875,Saliency,densenet121,ImageNet,1
18,0.08731131255626678,129.44921875,0.57421875,Saliency,densenet121,ImageNet,1
19,0.09496595337986946,129.44921875,0.57421875,Saliency,densenet121,ImageNet,1
20,0.08529764413833618,129.44921875,0.57421875,Saliency,densenet121,ImageNet,1
21,0.08922697976231575,129.44921875,0.57421875,Saliency,densenet121,ImageNet,1
22,0.10393086075782776,129.44921875,0.57421875,Saliency,densenet121,ImageNet,1
23,0.12291385605931282,129.44921875,0.57421875,Saliency,densenet121,ImageNet,1
24,0.0941229946911335,129.44921875,0.57421875,Saliency,densenet121,ImageNet,1
25,0.08494193851947784,129.44921875,0.57421875,Saliency,densenet121,ImageNet,1
26,0.08596935868263245,129.44921875,0.57421875,Saliency,densenet121,ImageNet,1
27,0.09173421189188957,129.44921875,0.57421875,Saliency,densenet121,ImageNet,1
28,0.08476211875677109,129.44921875,0.57421875,Saliency,densenet121,ImageNet,1
29,0.10022293403744698,129.44921875,0.57421875,Saliency,densenet121,ImageNet,1
30,0.12414779141545296,129.44921875,0.57421875,Saliency,densenet121,ImageNet,1
31,0.1041400097310543,129.44921875,0.57421875,Saliency,densenet121,ImageNet,1
32,0.12950769439339638,129.44921875,0.57421875,Saliency,densenet121,ImageNet,1
33,0.09797777235507965,129.44921875,0.57421875,Saliency,densenet121,ImageNet,1
34,0.09139559045433998,129.44921875,0.57421875,Saliency,densenet121,ImageNet,1
35,0.09110905975103378,129.44921875,0.57421875,Saliency,densenet121,ImageNet,1
36,0.1305256299674511,129.44921875,0.57421875,Saliency,densenet121,ImageNet,1
37,0.09855619445443153,129.44921875,0.57421875,Saliency,densenet121,ImageNet,1
38,0.09243631362915039,129.44921875,0.57421875,Saliency,densenet121,ImageNet,1
39,0.0965312086045742,129.44921875,0.57421875,Saliency,densenet121,ImageNet,1
40,0.11634965240955353,129.44921875,0.57421875,Saliency,densenet121,ImageNet,1
41,0.08850745856761932,129.44921875,0.57421875,Saliency,densenet121,ImageNet,1
42,0.09070659428834915,129.44921875,0.57421875,Saliency,densenet121,ImageNet,1
43,0.08211014047265053,129.44921875,0.57421875,Saliency,densenet121,ImageNet,1
44,0.08699260279536247,129.44921875,0.57421875,Saliency,densenet121,ImageNet,1
45,0.09656022116541862,129.44921875,0.57421875,Saliency,densenet121,ImageNet,1
46,0.10371118783950806,129.44921875,0.57421875,Saliency,densenet121,ImageNet,1
47,0.0869637094438076,129.44921875,0.57421875,Saliency,densenet121,ImageNet,1
48,0.10942002385854721,129.44921875,0.57421875,Saliency,densenet121,ImageNet,1
49,0.08964359387755394,129.44921875,0.57421875,Saliency,densenet121,ImageNet,1
50,0.09502536058425903,129.44921875,0.57421875,Saliency,densenet121,ImageNet,1
51,0.11004126816987991,129.44921875,0.57421875,Saliency,densenet121,ImageNet,1
