image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.09714692831039429,129.44921875,0.57421875,Saliency,densenet121,STL10,1
1,0.1107558012008667,129.44921875,0.57421875,Saliency,densenet121,STL10,1
2,0.09689752012491226,129.44921875,0.57421875,Saliency,densenet121,STL10,1
3,0.10429573059082031,129.44921875,0.57421875,Saliency,densenet121,STL10,1
4,0.10259080678224564,129.44921875,0.57421875,Saliency,densenet121,STL10,1
5,0.11254432797431946,129.44921875,0.57421875,Saliency,densenet121,STL10,1
6,0.13397223874926567,129.44921875,0.57421875,Saliency,densenet121,STL10,1
7,0.140486191958189,129.44921875,0.57421875,Saliency,densenet121,STL10,1
8,0.08998103439807892,129.44921875,0.57421875,Saliency,densenet121,STL10,1
9,0.10036757588386536,129.44921875,0.57421875,Saliency,densenet121,STL10,1
10,0.13630040735006332,129.44921875,0.57421875,Saliency,densenet121,STL10,1
11,0.14399174600839615,129.44921875,0.57421875,Saliency,densenet121,STL10,1
12,0.09205595776438713,129.44921875,0.57421875,Saliency,densenet121,STL10,1
13,0.10594303533434868,129.44921875,0.57421875,Saliency,densenet121,STL10,1
14,0.12257511541247368,129.44921875,0.57421875,Saliency,densenet121,STL10,1
15,0.09678689390420914,129.44921875,0.57421875,Saliency,densenet121,STL10,1
16,0.08790198713541031,129.44921875,0.57421875,Saliency,densenet121,STL10,1
17,0.09448681399226189,129.44921875,0.57421875,Saliency,densenet121,STL10,1
18,0.121542077511549,129.44921875,0.57421875,Saliency,densenet121,STL10,1
19,0.10277564078569412,129.44921875,0.57421875,Saliency,densenet121,STL10,1
20,0.09032225981354713,129.44921875,0.57421875,Saliency,densenet121,STL10,1
21,0.1374482959508896,129.44921875,0.57421875,Saliency,densenet121,STL10,1
22,0.1015709824860096,129.44921875,0.57421875,Saliency,densenet121,STL10,1
23,0.09102531149983406,129.44921875,0.57421875,Saliency,densenet121,STL10,1
24,0.09691821038722992,129.44921875,0.57421875,Saliency,densenet121,STL10,1
25,0.11980932950973511,129.44921875,0.57421875,Saliency,densenet121,STL10,1
26,0.09924858435988426,129.44921875,0.57421875,Saliency,densenet121,STL10,1
27,0.08971487358212471,129.44921875,0.57421875,Saliency,densenet121,STL10,1
28,0.08991008251905441,129.44921875,0.57421875,Saliency,densenet121,STL10,1
29,0.09601478278636932,129.44921875,0.57421875,Saliency,densenet121,STL10,1
30,0.1267678663134575,129.44921875,0.57421875,Saliency,densenet121,STL10,1
31,0.12345873937010765,129.44921875,0.57421875,Saliency,densenet121,STL10,1
32,0.13345399126410484,129.44921875,0.57421875,Saliency,densenet121,STL10,1
33,0.10195274651050568,129.44921875,0.57421875,Saliency,densenet121,STL10,1
34,0.106874268501997,129.44921875,0.57421875,Saliency,densenet121,STL10,1
35,0.11244314908981323,129.44921875,0.57421875,Saliency,densenet121,STL10,1
36,0.09044359624385834,129.44921875,0.57421875,Saliency,densenet121,STL10,1
37,0.13123918697237968,129.44921875,0.57421875,Saliency,densenet121,STL10,1
38,0.11193942651152611,129.44921875,0.57421875,Saliency,densenet121,STL10,1
39,0.1268061399459839,129.44921875,0.57421875,Saliency,densenet121,STL10,1
40,0.09924177452921867,129.44921875,0.57421875,Saliency,densenet121,STL10,1
41,0.08619235455989838,129.44921875,0.57421875,Saliency,densenet121,STL10,1
42,0.09314170107245445,129.44921875,0.57421875,Saliency,densenet121,STL10,1
43,0.10160959884524345,129.44921875,0.57421875,Saliency,densenet121,STL10,1
44,0.1354026384651661,129.44921875,0.57421875,Saliency,densenet121,STL10,1
45,0.09811984747648239,129.44921875,0.57421875,Saliency,densenet121,STL10,1
46,0.14996202662587166,129.44921875,0.57421875,Saliency,densenet121,STL10,1
47,0.11691281944513321,129.44921875,0.57421875,Saliency,densenet121,STL10,1
48,0.10370026156306267,129.44921875,0.57421875,Saliency,densenet121,STL10,1
49,0.13319814950227737,129.44921875,0.57421875,Saliency,densenet121,STL10,1
50,0.08787471055984497,129.44921875,0.57421875,Saliency,densenet121,STL10,1
51,0.09824385493993759,129.44921875,0.57421875,Saliency,densenet121,STL10,1
52,0.09153971076011658,129.44921875,0.57421875,Saliency,densenet121,STL10,1
53,0.10229752212762833,129.44921875,0.57421875,Saliency,densenet121,STL10,1
54,0.12544295191764832,129.44921875,0.57421875,Saliency,densenet121,STL10,1
55,0.10634447261691093,129.44921875,0.57421875,Saliency,densenet121,STL10,1
56,0.13015291839838028,129.44921875,0.57421875,Saliency,densenet121,STL10,1
57,0.09087381139397621,129.44921875,0.57421875,Saliency,densenet121,STL10,1
58,0.10559721663594246,129.44921875,0.57421875,Saliency,densenet121,STL10,1
59,0.09655867889523506,129.44921875,0.57421875,Saliency,densenet121,STL10,1
60,0.08996355533599854,129.44921875,0.57421875,Saliency,densenet121,STL10,1
61,0.09905373677611351,129.44921875,0.57421875,Saliency,densenet121,STL10,1
62,0.08626600727438927,129.44921875,0.57421875,Saliency,densenet121,STL10,1
63,0.10628273710608482,129.44921875,0.57421875,Saliency,densenet121,STL10,1
64,0.13954250141978264,129.44921875,0.57421875,Saliency,densenet121,STL10,1
65,0.09071312844753265,129.44921875,0.57421875,Saliency,densenet121,STL10,1
66,0.09379124268889427,129.44921875,0.57421875,Saliency,densenet121,STL10,1
67,0.136332917958498,129.44921875,0.57421875,Saliency,densenet121,STL10,1
68,0.11366396397352219,129.44921875,0.57421875,Saliency,densenet121,STL10,1
69,0.13761019334197044,129.44921875,0.57421875,Saliency,densenet121,STL10,1
70,0.0993432104587555,129.44921875,0.57421875,Saliency,densenet121,STL10,1
71,0.10185904800891876,129.44921875,0.57421875,Saliency,densenet121,STL10,1
72,0.09053470939397812,129.44921875,0.57421875,Saliency,densenet121,STL10,1
73,0.10050515085458755,129.44921875,0.57421875,Saliency,densenet121,STL10,1
74,0.08719836920499802,129.44921875,0.57421875,Saliency,densenet121,STL10,1
75,0.10759923607110977,129.44921875,0.57421875,Saliency,densenet121,STL10,1
76,0.1365356296300888,129.44921875,0.57421875,Saliency,densenet121,STL10,1
77,0.1351339891552925,129.44921875,0.57421875,Saliency,densenet121,STL10,1
78,0.0883730798959732,129.44921875,0.57421875,Saliency,densenet121,STL10,1
79,0.09768185019493103,129.44921875,0.57421875,Saliency,densenet121,STL10,1
80,0.10003552958369255,129.44921875,0.57421875,Saliency,densenet121,STL10,1
81,0.0929764099419117,129.44921875,0.57421875,Saliency,densenet121,STL10,1
82,0.11132656037807465,129.44921875,0.57421875,Saliency,densenet121,STL10,1
83,0.08932968974113464,129.44921875,0.57421875,Saliency,densenet121,STL10,1
84,0.09508000314235687,129.44921875,0.57421875,Saliency,densenet121,STL10,1
85,0.10504836589097977,129.44921875,0.57421875,Saliency,densenet121,STL10,1
86,0.11192530766129494,129.44921875,0.57421875,Saliency,densenet121,STL10,1
87,0.08992226421833038,129.44921875,0.57421875,Saliency,densenet121,STL10,1
88,0.09574031457304955,129.44921875,0.57421875,Saliency,densenet121,STL10,1
89,0.1116623543202877,129.44921875,0.57421875,Saliency,densenet121,STL10,1
90,0.10224711149930954,129.44921875,0.57421875,Saliency,densenet121,STL10,1
91,0.08729466423392296,129.44921875,0.57421875,Saliency,densenet121,STL10,1
92,0.09236250072717667,129.44921875,0.57421875,Saliency,densenet121,STL10,1
93,0.11963267996907234,129.44921875,0.57421875,Saliency,densenet121,STL10,1
94,0.11969210207462311,129.44921875,0.57421875,Saliency,densenet121,STL10,1
95,0.11013447120785713,129.44921875,0.57421875,Saliency,densenet121,STL10,1
96,0.11463949084281921,129.44921875,0.57421875,Saliency,densenet121,STL10,1
97,0.09154994040727615,129.44921875,0.57421875,Saliency,densenet121,STL10,1
98,0.10123040527105331,129.44921875,0.57421875,Saliency,densenet121,STL10,1
99,0.138031717389822,129.44921875,0.57421875,Saliency,densenet121,STL10,1
