image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.04790810868144035,129.40234375,0.57421875,Saliency,densenet121,STL10,1
1,0.05026675760746002,129.40234375,0.57421875,Saliency,densenet121,STL10,1
2,0.05553523078560829,129.40234375,0.57421875,Saliency,densenet121,STL10,1
3,0.05001513287425041,129.40234375,0.57421875,Saliency,densenet121,STL10,1
4,0.05086226388812065,129.40234375,0.57421875,Saliency,densenet121,STL10,1
5,0.054218437522649765,129.40234375,0.57421875,Saliency,densenet121,STL10,1
6,0.055179327726364136,129.40234375,0.57421875,Saliency,densenet121,STL10,1
7,0.06082144007086754,129.40234375,0.57421875,Saliency,densenet121,STL10,1
8,0.05611398071050644,129.40234375,0.57421875,Saliency,densenet121,STL10,1
9,0.06329063326120377,129.40234375,0.57421875,Saliency,densenet121,STL10,1
10,0.06269496306777,129.40234375,0.57421875,Saliency,densenet121,STL10,1
11,0.059518519788980484,129.40234375,0.57421875,Saliency,densenet121,STL10,1
12,0.05403514578938484,129.40234375,0.57421875,Saliency,densenet121,STL10,1
13,0.04998227208852768,129.40234375,0.57421875,Saliency,densenet121,STL10,1
14,0.057069942355155945,129.40234375,0.57421875,Saliency,densenet121,STL10,1
15,0.05477134510874748,129.40234375,0.57421875,Saliency,densenet121,STL10,1
16,0.05805253982543945,129.40234375,0.57421875,Saliency,densenet121,STL10,1
17,0.051541294902563095,129.40234375,0.57421875,Saliency,densenet121,STL10,1
18,0.0586659237742424,129.40234375,0.57421875,Saliency,densenet121,STL10,1
19,0.055625054985284805,129.40234375,0.57421875,Saliency,densenet121,STL10,1
20,0.05298423394560814,129.40234375,0.57421875,Saliency,densenet121,STL10,1
21,0.06689649820327759,129.40234375,0.57421875,Saliency,densenet121,STL10,1
22,0.05578549578785896,129.40234375,0.57421875,Saliency,densenet121,STL10,1
23,0.05709363520145416,129.40234375,0.57421875,Saliency,densenet121,STL10,1
24,0.06150307133793831,129.40234375,0.57421875,Saliency,densenet121,STL10,1
25,0.06494491547346115,129.40234375,0.57421875,Saliency,densenet121,STL10,1
26,0.060164567083120346,129.40234375,0.57421875,Saliency,densenet121,STL10,1
27,0.056150034070014954,129.40234375,0.57421875,Saliency,densenet121,STL10,1
28,0.057440511882305145,129.40234375,0.57421875,Saliency,densenet121,STL10,1
29,0.060137443244457245,129.40234375,0.57421875,Saliency,densenet121,STL10,1
30,0.06547927111387253,129.40234375,0.57421875,Saliency,densenet121,STL10,1
31,0.0568469800055027,129.40234375,0.57421875,Saliency,densenet121,STL10,1
32,0.05712781846523285,129.40234375,0.57421875,Saliency,densenet121,STL10,1
33,0.04829258844256401,129.40234375,0.57421875,Saliency,densenet121,STL10,1
34,0.055347610265016556,129.40234375,0.57421875,Saliency,densenet121,STL10,1
35,0.060823626816272736,129.40234375,0.57421875,Saliency,densenet121,STL10,1
36,0.05171053484082222,129.40234375,0.57421875,Saliency,densenet121,STL10,1
37,0.055220041424036026,129.40234375,0.57421875,Saliency,densenet121,STL10,1
38,0.05740080773830414,129.40234375,0.57421875,Saliency,densenet121,STL10,1
39,0.06102078780531883,129.40234375,0.57421875,Saliency,densenet121,STL10,1
40,0.058362215757369995,129.40234375,0.57421875,Saliency,densenet121,STL10,1
41,0.052380532026290894,129.40234375,0.57421875,Saliency,densenet121,STL10,1
42,0.053672585636377335,129.40234375,0.57421875,Saliency,densenet121,STL10,1
43,0.058460783213377,129.40234375,0.57421875,Saliency,densenet121,STL10,1
44,0.06445860117673874,129.40234375,0.57421875,Saliency,densenet121,STL10,1
45,0.06820341944694519,129.40234375,0.57421875,Saliency,densenet121,STL10,1
46,0.057159651070833206,129.40234375,0.57421875,Saliency,densenet121,STL10,1
47,0.06213691085577011,129.40234375,0.57421875,Saliency,densenet121,STL10,1
48,0.051531530916690826,129.40234375,0.57421875,Saliency,densenet121,STL10,1
49,0.0553799606859684,129.40234375,0.57421875,Saliency,densenet121,STL10,1
50,0.06770362332463264,129.40234375,0.57421875,Saliency,densenet121,STL10,1
51,0.05960278585553169,129.40234375,0.57421875,Saliency,densenet121,STL10,1
52,0.06153227761387825,129.40234375,0.57421875,Saliency,densenet121,STL10,1
53,0.06206732243299484,129.40234375,0.57421875,Saliency,densenet121,STL10,1
54,0.06314807012677193,129.40234375,0.57421875,Saliency,densenet121,STL10,1
55,0.052268996834754944,129.40234375,0.57421875,Saliency,densenet121,STL10,1
56,0.049974992871284485,129.40234375,0.57421875,Saliency,densenet121,STL10,1
57,0.05681341513991356,129.40234375,0.57421875,Saliency,densenet121,STL10,1
58,0.059442345052957535,129.40234375,0.57421875,Saliency,densenet121,STL10,1
59,0.0555528961122036,129.40234375,0.57421875,Saliency,densenet121,STL10,1
60,0.05528820678591728,129.40234375,0.57421875,Saliency,densenet121,STL10,1
61,0.06598490104079247,129.40234375,0.57421875,Saliency,densenet121,STL10,1
