image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.04378524795174599,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
1,0.05239417031407356,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
2,0.04812002554535866,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
3,0.043814826756715775,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
4,0.041954200714826584,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
5,0.04096415638923645,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
6,0.04808991774916649,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
7,0.04179435968399048,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
8,0.05114472657442093,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
9,0.046488262712955475,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
10,0.067060686647892,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
11,0.0739174634218216,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
12,0.06166931614279747,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
13,0.06329918652772903,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
14,0.049557026475667953,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
15,0.04222407937049866,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
16,0.04595498368144035,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
17,0.05297312140464783,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
18,0.06664671748876572,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
19,0.07096747681498528,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
20,0.052289269864559174,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
21,0.048020120710134506,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
22,0.044743072241544724,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
23,0.05484207347035408,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
24,0.045916832983493805,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
25,0.05636829882860184,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
26,0.06702477112412453,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
27,0.07005536928772926,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
28,0.052495602518320084,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
29,0.07495525106787682,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
30,0.05824942886829376,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
31,0.04672383517026901,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
32,0.06295980513095856,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
33,0.0685710646212101,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
34,0.054944634437561035,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
35,0.05114651098847389,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
36,0.044813212007284164,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
37,0.04653587192296982,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
38,0.04651447758078575,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
39,0.05035940185189247,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
40,0.05480821430683136,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
41,0.04796123132109642,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
42,0.04539639875292778,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
43,0.0522552914917469,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
44,0.06103602051734924,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
45,0.04793085157871246,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
46,0.047289665788412094,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
47,0.05765806511044502,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
48,0.04352283477783203,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
49,0.05955492705106735,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
50,0.053297046571969986,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
51,0.04727059230208397,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
52,0.044490840286016464,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
53,0.04920235648751259,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
54,0.055032771080732346,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
55,0.04908075928688049,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
56,0.04921799153089523,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
57,0.041917283087968826,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
58,0.05610436946153641,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
59,0.06185516342520714,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
60,0.04827918857336044,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
61,0.06086065620183945,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
62,0.06884235888719559,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
63,0.053439389914274216,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
64,0.06397200375795364,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
65,0.05982789769768715,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
66,0.06592314690351486,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
67,0.049852024763822556,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
68,0.04469338804483414,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
69,0.05811074376106262,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
70,0.04265672340989113,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
71,0.06315910443663597,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
72,0.07101018726825714,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
73,0.05751149356365204,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
74,0.04809417948126793,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
75,0.045632507652044296,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
76,0.045689813792705536,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
77,0.0455736480653286,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
78,0.04663527384400368,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
79,0.040674496442079544,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
80,0.04890131950378418,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
81,0.04468469321727753,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
82,0.04319009557366371,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
83,0.04545971751213074,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
84,0.05606650188565254,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
85,0.044512346386909485,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
86,0.047012194991111755,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
87,0.04626135528087616,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
88,0.053260475397109985,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
89,0.07036788016557693,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
90,0.07383506745100021,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
91,0.07226313278079033,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
92,0.07093740627169609,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
93,0.05722573399543762,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
94,0.0596613846719265,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
95,0.047559596598148346,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
96,0.04698873683810234,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
97,0.04980793222784996,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
98,0.054158542305231094,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
99,0.048060882836580276,86.1728515625,0.57421875,Saliency,efficientnet-b0,CIFAR10,1
